mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
11.001,2.87,6.228,16.299,0.036,0.027,6989.0,3540.0,1.0
11.531,3.21,6.245,16.909,0.043,0.037,7146.0,3023.0,1.0
0.066,0.913,-1.651,1.798,0.011,0.016,7264.0,2733.0,1.0
0.069,0.891,-1.591,1.803,0.011,0.016,6458.0,2829.0,1.0
0.421,0.965,-1.376,2.243,0.013,0.014,5679.0,3482.0,1.0
0.257,0.902,-1.469,1.935,0.011,0.013,6687.0,3451.0,1.0
-0.4,0.913,-2.046,1.381,0.013,0.013,5398.0,2657.0,1.0
0.003,0.908,-1.687,1.754,0.011,0.015,6765.0,2914.0,1.0
0.159,0.942,-1.678,1.847,0.011,0.018,7508.0,2814.0,1.0
-0.439,0.925,-2.083,1.382,0.013,0.013,5074.0,3031.0,1.0
0.024,0.92,-1.802,1.687,0.01,0.016,7924.0,2776.0,1.0
-0.049,0.894,-1.831,1.539,0.01,0.015,7671.0,3080.0,1.0
0.341,0.939,-1.405,2.086,0.012,0.014,6333.0,3482.0,1.0
0.259,0.933,-1.619,1.876,0.011,0.015,7164.0,2692.0,1.0
0.081,0.896,-1.648,1.693,0.011,0.015,6899.0,3062.0,1.0
0.054,0.927,-1.752,1.732,0.01,0.016,8645.0,2934.0,1.0
-0.045,0.879,-1.675,1.622,0.01,0.014,7202.0,2909.0,1.0
0.136,0.938,-1.566,2.004,0.011,0.015,6993.0,2981.0,1.0
-0.219,0.891,-1.957,1.446,0.01,0.014,7604.0,3057.0,1.0
-0.009,0.888,-1.666,1.645,0.011,0.015,6677.0,3195.0,1.0
-0.172,0.899,-1.786,1.622,0.009,0.015,9014.0,3102.0,1.0
-0.71,1.052,-2.518,1.394,0.02,0.016,2701.0,3240.0,1.0
0.294,0.935,-1.448,2.049,0.012,0.014,6671.0,3057.0,1.0
-0.551,0.957,-2.239,1.383,0.016,0.014,3689.0,3023.0,1.0
0.13,0.927,-1.685,1.816,0.011,0.015,7162.0,3136.0,1.0
-0.486,0.947,-2.27,1.361,0.014,0.013,4841.0,3132.0,1.0
-0.13,0.895,-1.883,1.534,0.012,0.015,5625.0,2815.0,1.0
0.046,0.925,-1.739,1.75,0.011,0.015,7443.0,3169.0,1.0
0.11,0.905,-1.614,1.774,0.011,0.015,6644.0,3089.0,1.0
0.279,0.936,-1.464,2.011,0.012,0.016,6197.0,3276.0,1.0
0.207,0.938,-1.58,1.944,0.011,0.015,7753.0,2954.0,1.0
0.416,0.986,-1.399,2.286,0.014,0.015,4900.0,3052.0,1.0
-0.165,0.889,-1.922,1.449,0.01,0.015,8568.0,2979.0,1.0
0.343,0.938,-1.378,2.168,0.012,0.014,6162.0,3157.0,1.0
0.047,0.911,-1.782,1.667,0.01,0.015,7912.0,3219.0,1.0
0.033,0.9,-1.617,1.812,0.011,0.014,6677.0,3251.0,1.0
0.403,0.941,-1.377,2.173,0.012,0.014,5634.0,3188.0,1.0
0.24,0.929,-1.487,1.922,0.011,0.014,6950.0,3506.0,1.0
-0.388,0.979,-2.09,1.556,0.014,0.015,5225.0,3057.0,1.0
-0.048,0.915,-1.733,1.665,0.011,0.015,7071.0,2874.0,1.0
0.143,0.916,-1.686,1.784,0.01,0.015,7848.0,3247.0,1.0
-0.399,0.959,-2.141,1.449,0.013,0.014,5447.0,3386.0,1.0
0.003,0.935,-1.894,1.687,0.011,0.014,7332.0,3266.0,1.0
