Date,Week,home_team,home_pts,away_team,away_pts,tie
2024-09-05 00:00:00,1,KC,27.0,BLT,20.0,False
2024-09-06 00:00:00,1,PHI,34.0,GB,29.0,False
2024-09-08 00:00:00,1,ATL,10.0,PIT,18.0,False
2024-09-08 00:00:00,1,BUF,34.0,ARZ,28.0,False
2024-09-08 00:00:00,1,NO,47.0,CAR,10.0,False
2024-09-08 00:00:00,1,CHI,24.0,TEN,17.0,False
2024-09-08 00:00:00,1,CIN,10.0,NE,16.0,False
2024-09-08 00:00:00,1,IND,27.0,HST,29.0,False
2024-09-08 00:00:00,1,MIA,20.0,JAX,17.0,False
2024-09-08 00:00:00,1,NYG,6.0,MIN,28.0,False
2024-09-08 00:00:00,1,SEA,26.0,DEN,20.0,False
2024-09-08 00:00:00,1,LAC,22.0,LV,10.0,False
2024-09-08 00:00:00,1,CLV,17.0,DAL,33.0,False
2024-09-08 00:00:00,1,TB,37.0,WAS,20.0,False
2024-09-08 00:00:00,1,DET,26.0,LAR,20.0,False
2024-09-09 00:00:00,1,SF,32.0,NYJ,19.0,False
2024-09-12 00:00:00,2,MIA,10.0,BUF,31.0,False
2024-09-15 00:00:00,2,CAR,3.0,LAC,26.0,False
2024-09-15 00:00:00,2,JAX,13.0,CLV,18.0,False
2024-09-15 00:00:00,2,GB,16.0,IND,10.0,False
2024-09-15 00:00:00,2,DAL,19.0,NO,44.0,False
2024-09-15 00:00:00,2,DET,16.0,TB,20.0,False
2024-09-15 00:00:00,2,MIN,23.0,SF,17.0,False
2024-09-15 00:00:00,2,NE,20.0,SEA,23.0,False
2024-09-15 00:00:00,2,WAS,21.0,NYG,18.0,False
2024-09-15 00:00:00,2,TEN,17.0,NYJ,24.0,False
2024-09-15 00:00:00,2,BLT,23.0,LV,26.0,False
2024-09-15 00:00:00,2,ARZ,41.0,LAR,10.0,False
2024-09-15 00:00:00,2,KC,26.0,CIN,25.0,False
2024-09-15 00:00:00,2,DEN,6.0,PIT,13.0,False
2024-09-15 00:00:00,2,HST,19.0,CHI,13.0,False
2024-09-16 00:00:00,2,PHI,21.0,ATL,22.0,False
2024-09-19 00:00:00,3,NYJ,24.0,NE,3.0,False
2024-09-22 00:00:00,3,IND,21.0,CHI,16.0,False
2024-09-22 00:00:00,3,CLV,15.0,NYG,21.0,False
2024-09-22 00:00:00,3,TB,7.0,DEN,26.0,False
2024-09-22 00:00:00,3,TEN,14.0,GB,30.0,False
2024-09-22 00:00:00,3,MIN,34.0,HST,7.0,False
2024-09-22 00:00:00,3,NO,12.0,PHI,15.0,False
2024-09-22 00:00:00,3,PIT,20.0,LAC,10.0,False
2024-09-22 00:00:00,3,LV,22.0,CAR,36.0,False
2024-09-22 00:00:00,3,SEA,24.0,MIA,3.0,False
2024-09-22 00:00:00,3,ARZ,13.0,DET,20.0,False
2024-09-22 00:00:00,3,DAL,25.0,BLT,28.0,False
2024-09-22 00:00:00,3,LAR,27.0,SF,24.0,False
2024-09-22 00:00:00,3,ATL,17.0,KC,22.0,False
2024-09-23 00:00:00,3,BUF,47.0,JAX,10.0,False
2024-09-23 00:00:00,3,CIN,33.0,WAS,38.0,False
2024-09-26 00:00:00,4,NYG,15.0,DAL,20.0,False
2024-09-29 00:00:00,4,ATL,26.0,NO,24.0,False
2024-09-29 00:00:00,4,CAR,24.0,CIN,34.0,False
2024-09-29 00:00:00,4,CHI,24.0,LAR,18.0,False
2024-09-29 00:00:00,4,IND,27.0,PIT,24.0,False
2024-09-29 00:00:00,4,NYJ,9.0,DEN,10.0,False
2024-09-29 00:00:00,4,GB,29.0,MIN,31.0,False
2024-09-29 00:00:00,4,HST,24.0,JAX,20.0,False
2024-09-29 00:00:00,4,TB,33.0,PHI,16.0,False
2024-09-29 00:00:00,4,ARZ,14.0,WAS,42.0,False
2024-09-29 00:00:00,4,SF,30.0,NE,13.0,False
2024-09-29 00:00:00,4,LV,20.0,CLV,16.0,False
2024-09-29 00:00:00,4,LAC,10.0,KC,17.0,False
2024-09-29 00:00:00,4,BLT,35.0,BUF,10.0,False
2024-09-30 00:00:00,4,MIA,12.0,TEN,31.0,False
2024-09-30 00:00:00,4,DET,42.0,SEA,29.0,False
2024-10-03 00:00:00,5,ATL,36.0,TB,30.0,False
2024-10-06 00:00:00,5,MIN,23.0,NYJ,17.0,False
2024-10-06 00:00:00,5,HST,23.0,BUF,20.0,False
2024-10-06 00:00:00,5,CHI,36.0,CAR,10.0,False
2024-10-06 00:00:00,5,CIN,38.0,BLT,41.0,False
2024-10-06 00:00:00,5,WAS,34.0,CLV,13.0,False
2024-10-06 00:00:00,5,JAX,37.0,IND,34.0,False
2024-10-06 00:00:00,5,NE,10.0,MIA,15.0,False
2024-10-06 00:00:00,5,SF,23.0,ARZ,24.0,False
2024-10-06 00:00:00,5,DEN,34.0,LV,18.0,False
2024-10-06 00:00:00,5,LAR,19.0,GB,24.0,False
2024-10-06 00:00:00,5,SEA,20.0,NYG,29.0,False
2024-10-06 00:00:00,5,PIT,17.0,DAL,20.0,False
2024-10-07 00:00:00,5,KC,26.0,NO,13.0,False
2024-10-10 00:00:00,6,SEA,24.0,SF,36.0,False
2024-10-13 00:00:00,6,CHI,35.0,JAX,16.0,False
2024-10-13 00:00:00,6,PHI,20.0,CLV,16.0,False
2024-10-13 00:00:00,6,TEN,17.0,IND,20.0,False
2024-10-13 00:00:00,6,GB,34.0,ARZ,13.0,False
2024-10-13 00:00:00,6,NE,21.0,HST,41.0,False
2024-10-13 00:00:00,6,NO,27.0,TB,51.0,False
2024-10-13 00:00:00,6,BLT,30.0,WAS,23.0,False
2024-10-13 00:00:00,6,DEN,16.0,LAC,23.0,False
2024-10-13 00:00:00,6,LV,13.0,PIT,32.0,False
2024-10-13 00:00:00,6,CAR,20.0,ATL,38.0,False
2024-10-13 00:00:00,6,DAL,9.0,DET,47.0,False
2024-10-13 00:00:00,6,NYG,7.0,CIN,17.0,False
2024-10-14 00:00:00,6,NYJ,20.0,BUF,23.0,False
2024-10-17 00:00:00,7,NO,10.0,DEN,33.0,False
2024-10-20 00:00:00,7,JAX,32.0,NE,16.0,False
2024-10-20 00:00:00,7,MIN,29.0,DET,31.0,False
2024-10-20 00:00:00,7,ATL,14.0,SEA,34.0,False
2024-10-20 00:00:00,7,BUF,34.0,TEN,10.0,False
2024-10-20 00:00:00,7,CLV,14.0,CIN,21.0,False
2024-10-20 00:00:00,7,IND,16.0,MIA,10.0,False
2024-10-20 00:00:00,7,GB,24.0,HST,22.0,False
2024-10-20 00:00:00,7,NYG,3.0,PHI,28.0,False
2024-10-20 00:00:00,7,WAS,40.0,CAR,7.0,False
2024-10-20 00:00:00,7,LAR,20.0,LV,15.0,False
2024-10-20 00:00:00,7,SF,18.0,KC,28.0,False
2024-10-20 00:00:00,7,PIT,37.0,NYJ,15.0,False
2024-10-21 00:00:00,7,TB,31.0,BLT,41.0,False
2024-10-21 00:00:00,7,ARZ,17.0,LAC,15.0,False
2024-10-24 00:00:00,8,LAR,30.0,MIN,20.0,False
2024-10-27 00:00:00,8,TB,,ATL,,False
2024-10-27 00:00:00,8,HST,,IND,,False
2024-10-27 00:00:00,8,MIA,,ARZ,,False
2024-10-27 00:00:00,8,JAX,,GB,,False
2024-10-27 00:00:00,8,NE,,NYJ,,False
2024-10-27 00:00:00,8,DET,,TEN,,False
2024-10-27 00:00:00,8,CIN,,PHI,,False
2024-10-27 00:00:00,8,CLV,,BLT,,False
2024-10-27 00:00:00,8,SEA,,BUF,,False
2024-10-27 00:00:00,8,LAC,,NO,,False
2024-10-27 00:00:00,8,DEN,,CAR,,False
