mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
10.899,2.528,6.325,15.349,0.032,0.025,7120.0,3347.0,1.0
12.442,3.25,6.836,18.007,0.05,0.039,5533.0,2938.0,1.0
0.116,0.932,-1.663,1.882,0.011,0.016,7348.0,3268.0,1.0
0.082,0.91,-1.699,1.731,0.011,0.015,7178.0,3188.0,1.0
0.403,0.981,-1.436,2.221,0.012,0.015,6491.0,3060.0,1.0
0.243,0.936,-1.406,2.016,0.011,0.015,7318.0,3220.0,1.0
-0.408,0.948,-2.087,1.39,0.013,0.014,5263.0,3134.0,1.0
-0.077,0.896,-1.802,1.626,0.01,0.014,7556.0,3197.0,1.0
0.111,0.939,-1.722,1.882,0.011,0.016,6679.0,2792.0,1.0
-0.392,0.899,-2.167,1.271,0.012,0.013,5615.0,2998.0,1.0
0.013,0.902,-1.6,1.762,0.011,0.016,6898.0,2824.0,1.0
-0.075,0.954,-1.918,1.716,0.011,0.017,7459.0,3141.0,1.0
0.433,0.982,-1.349,2.271,0.012,0.015,6343.0,3394.0,1.0
0.234,0.94,-1.548,1.985,0.012,0.015,6610.0,3400.0,1.0
0.04,0.898,-1.753,1.679,0.011,0.014,6862.0,2935.0,1.0
0.013,0.897,-1.662,1.755,0.011,0.015,7216.0,3298.0,1.0
0.002,0.89,-1.682,1.687,0.011,0.014,6430.0,2966.0,1.0
0.127,0.933,-1.611,1.815,0.011,0.016,7152.0,3137.0,1.0
-0.194,0.914,-1.902,1.519,0.011,0.014,6705.0,3087.0,1.0
-0.04,0.918,-1.676,1.795,0.012,0.015,5805.0,2826.0,1.0
-0.169,0.911,-1.917,1.557,0.011,0.014,7382.0,2759.0,1.0
-0.648,1.011,-2.428,1.369,0.019,0.015,2933.0,2833.0,1.0
0.307,0.943,-1.425,2.088,0.011,0.014,7208.0,3336.0,1.0
-0.503,0.921,-2.27,1.187,0.014,0.013,4583.0,3276.0,1.0
0.054,0.877,-1.573,1.678,0.01,0.014,7315.0,3179.0,1.0
-0.459,0.953,-2.216,1.39,0.013,0.014,5002.0,3156.0,1.0
-0.144,0.949,-1.922,1.65,0.011,0.016,7421.0,2782.0,1.0
0.099,0.931,-1.617,1.877,0.011,0.017,6746.0,3014.0,1.0
0.141,0.952,-1.601,1.987,0.012,0.015,6626.0,3322.0,1.0
0.171,0.927,-1.739,1.79,0.011,0.018,7400.0,2952.0,1.0
0.217,0.959,-1.635,1.952,0.011,0.016,7104.0,2848.0,1.0
0.408,1.003,-1.493,2.227,0.013,0.015,6402.0,2849.0,1.0
-0.184,0.905,-1.873,1.574,0.011,0.013,6890.0,3583.0,1.0
0.309,0.971,-1.609,2.011,0.011,0.016,7289.0,3269.0,1.0
0.107,0.928,-1.698,1.838,0.011,0.016,6948.0,3040.0,1.0
0.048,0.909,-1.658,1.775,0.011,0.016,7489.0,2748.0,1.0
0.394,0.951,-1.487,2.088,0.014,0.015,4825.0,2928.0,1.0
0.249,0.904,-1.558,1.901,0.011,0.014,6378.0,3397.0,1.0
-0.382,0.943,-2.105,1.427,0.012,0.014,6135.0,2945.0,1.0
-0.118,0.918,-1.864,1.598,0.011,0.016,7099.0,3198.0,1.0
0.105,0.941,-1.807,1.731,0.01,0.017,8176.0,2935.0,1.0
-0.362,0.968,-2.144,1.542,0.013,0.016,5480.0,3053.0,1.0
-0.01,0.891,-1.789,1.58,0.01,0.014,8144.0,3161.0,1.0
-0.076,0.94,-1.765,1.723,0.011,0.016,6928.0,3073.0,1.0
0.437,0.952,-1.461,2.104,0.012,0.013,5981.0,3303.0,1.0
0.246,0.934,-1.519,1.982,0.011,0.016,7062.0,2793.0,1.0
0.036,0.9,-1.617,1.817,0.011,0.015,7373.0,3011.0,1.0
-0.036,0.93,-1.744,1.753,0.012,0.017,6281.0,2929.0,1.0
-0.016,0.918,-1.745,1.722,0.011,0.017,7581.0,2808.0,1.0
0.104,0.953,-1.584,2.006,0.012,0.015,6841.0,2945.0,1.0
-0.205,0.949,-1.995,1.547,0.012,0.016,6335.0,3035.0,1.0
-0.062,0.929,-1.813,1.661,0.011,0.016,7203.0,3300.0,1.0
-0.176,0.912,-1.919,1.524,0.011,0.014,7544.0,3301.0,1.0
-0.557,1.03,-2.401,1.391,0.018,0.016,3313.0,2984.0,1.0
0.297,0.929,-1.506,2.036,0.011,0.016,6594.0,2836.0,1.0
-0.455,0.966,-2.256,1.405,0.014,0.015,4934.0,3218.0,1.0
0.038,0.917,-1.63,1.82,0.011,0.015,6739.0,2815.0,1.0
-0.421,0.996,-2.278,1.466,0.014,0.014,5135.0,3299.0,1.0
-0.166,0.93,-1.923,1.586,0.011,0.015,7035.0,3028.0,1.0
0.095,0.919,-1.581,1.917,0.01,0.015,7741.0,3108.0,1.0
0.132,0.93,-1.737,1.777,0.012,0.015,6280.0,2972.0,1.0
0.156,0.936,-1.714,1.814,0.011,0.015,6883.0,3209.0,1.0
0.203,0.931,-1.527,1.92,0.011,0.015,7219.0,3016.0,1.0
0.386,0.965,-1.515,2.105,0.013,0.014,5761.0,3180.0,1.0
-0.187,0.93,-1.906,1.504,0.011,0.015,6869.0,3059.0,1.0
0.289,0.935,-1.449,1.975,0.012,0.014,6445.0,3217.0,1.0
0.079,0.917,-1.655,1.783,0.011,0.016,6854.0,2874.0,1.0
0.043,0.937,-1.727,1.876,0.012,0.018,6425.0,2844.0,1.0
0.398,0.915,-1.358,2.046,0.012,0.013,6184.0,3511.0,1.0
0.216,0.911,-1.537,1.882,0.012,0.015,5328.0,2780.0,1.0
-0.369,0.999,-2.138,1.57,0.014,0.015,5270.0,3106.0,1.0
-0.115,0.9,-1.871,1.529,0.011,0.015,7169.0,3041.0,1.0
0.086,0.923,-1.624,1.829,0.011,0.016,6465.0,2776.0,1.0
-0.357,0.952,-2.184,1.397,0.013,0.015,5555.0,3033.0,1.0
-0.022,0.91,-1.715,1.754,0.01,0.015,7546.0,3110.0,1.0
-0.098,0.922,-1.83,1.634,0.011,0.016,6866.0,2929.0,1.0
0.429,0.972,-1.451,2.165,0.012,0.014,6405.0,3148.0,1.0
