home_team,away_team,n_sims,over_under,over_under_vegas_odds,home_spread,home_spread_vegas_odds,home_ml_vegas_odds,mean_total_pts,mean_home_pts,mean_away_pts,prob_over,prob_home_cover,prob_home_ml
CHI,MIN,25000,39.5,-110,3.0,-115,135,36.96096,15.8342,21.12676,0.37444,0.39796,0.29004
IND,DET,25000,50.5,-115,7.0,-105,285,49.03788,19.37872,29.65916,0.419,0.39916,0.21188
WAS,DAL,25000,44.5,-115,-10.5,-115,-650,52.7426,33.30812,19.43448,0.68292,0.56664,0.81924
CAR,KC,25000,43.0,-110,10.5,-110,460,45.40036,15.62936,29.771,0.51836,0.40656,0.12128
NYG,TB,25000,40.0,-110,6.0,-110,222,45.87456,19.49216,26.3824,0.63576,0.46192,0.28336
MIA,NE,25000,45.5,-110,-7.5,-110,-400,36.89596,20.08652,16.80944,0.20028,0.3296,0.59712
HST,TEN,25000,40.5,-110,-8.0,-115,-440,45.3712,27.01628,18.35492,0.61324,0.48468,0.73372
LV,DEN,25000,41.5,-110,5.5,-110,205,41.61568,16.62168,24.994,0.4664,0.41676,0.22464
GB,SF,25000,44.5,-105,-6.0,-110,-292,48.53836,26.21836,22.32,0.58516,0.40772,0.59288
SEA,ARZ,25000,47.0,-110,1.0,-105,105,48.3772,23.23636,25.14084,0.49312,0.4544,0.42252
LAR,PHI,25000,49.0,-110,3.0,-120,130,44.06236,19.86704,24.19532,0.30396,0.44228,0.346
