mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
10.207,1.947,6.898,13.797,0.024,0.018,7612.0,2956.0,1.0
12.107,2.467,8.054,16.664,0.03,0.024,8480.0,3387.0,1.0
0.203,0.911,-1.521,1.874,0.01,0.014,7701.0,3409.0,1.0
-0.031,0.905,-1.719,1.728,0.011,0.014,7137.0,3215.0,1.0
0.43,0.992,-1.424,2.325,0.013,0.015,5682.0,3103.0,1.0
0.38,0.976,-1.41,2.234,0.012,0.016,6173.0,2675.0,1.0
-0.434,0.954,-2.236,1.357,0.012,0.013,6113.0,3022.0,1.0
-0.3,0.909,-1.999,1.377,0.01,0.013,7537.0,2745.0,1.0
0.308,0.922,-1.523,2.016,0.011,0.014,7567.0,3361.0,1.0
-0.403,0.958,-2.12,1.436,0.012,0.015,6143.0,3118.0,1.0
-0.181,0.935,-2.082,1.45,0.011,0.016,7210.0,3047.0,1.0
-0.119,0.882,-1.713,1.673,0.01,0.016,7240.0,2944.0,1.0
0.512,0.997,-1.353,2.336,0.014,0.014,4923.0,3170.0,1.0
0.251,0.921,-1.424,2.017,0.011,0.015,7130.0,3145.0,1.0
0.128,0.947,-1.732,1.834,0.011,0.015,7705.0,3175.0,1.0
0.038,0.912,-1.681,1.775,0.011,0.015,7160.0,3151.0,1.0
-0.157,0.921,-1.857,1.61,0.011,0.015,6597.0,2893.0,1.0
0.122,0.909,-1.718,1.755,0.01,0.016,8378.0,2761.0,1.0
-0.058,0.918,-1.653,1.758,0.011,0.015,7604.0,3323.0,1.0
0.033,0.91,-1.625,1.798,0.011,0.016,6888.0,2816.0,1.0
-0.193,0.869,-1.766,1.551,0.01,0.014,7344.0,3192.0,1.0
-0.354,0.92,-2.035,1.431,0.011,0.014,6440.0,3173.0,1.0
0.178,0.942,-1.659,1.946,0.01,0.016,8545.0,2854.0,1.0
-0.468,0.971,-2.246,1.38,0.014,0.014,5072.0,2663.0,1.0
0.036,0.906,-1.704,1.719,0.011,0.015,7255.0,3010.0,1.0
-0.477,0.962,-2.24,1.37,0.014,0.014,4797.0,2735.0,1.0
-0.188,0.896,-1.815,1.604,0.011,0.014,6853.0,3332.0,1.0
0.147,0.916,-1.61,1.803,0.01,0.014,8384.0,3110.0,1.0
0.057,0.925,-1.702,1.821,0.011,0.016,6994.0,2915.0,1.0
0.134,0.907,-1.737,1.68,0.011,0.016,7452.0,2649.0,1.0
0.175,0.913,-1.577,1.902,0.011,0.016,6889.0,2968.0,1.0
0.381,0.952,-1.496,2.063,0.012,0.013,6087.0,3216.0,1.0
-0.207,0.92,-1.981,1.452,0.011,0.014,7368.0,2877.0,1.0
0.353,0.933,-1.451,2.04,0.011,0.014,7767.0,3598.0,1.0
0.18,0.909,-1.414,2.02,0.01,0.014,8016.0,3356.0,1.0
-0.05,0.918,-1.914,1.601,0.011,0.015,7376.0,2997.0,1.0
0.424,0.986,-1.541,2.16,0.013,0.015,6339.0,3040.0,1.0
0.359,0.94,-1.427,2.117,0.012,0.014,6476.0,3158.0,1.0
-0.403,0.938,-2.104,1.397,0.013,0.012,5592.0,3327.0,1.0
-0.322,0.939,-2.185,1.332,0.011,0.014,7530.0,2629.0,1.0
0.277,0.905,-1.412,2.045,0.011,0.017,7102.0,2823.0,1.0
-0.394,0.94,-2.099,1.453,0.013,0.013,5581.0,3090.0,1.0
-0.19,0.93,-2.032,1.472,0.011,0.017,7643.0,2614.0,1.0
-0.119,0.932,-1.827,1.721,0.011,0.016,7330.0,3278.0,1.0
0.52,1.004,-1.407,2.329,0.014,0.015,5282.0,3214.0,1.0
0.232,0.897,-1.419,1.933,0.011,0.013,7145.0,3215.0,1.0
0.089,0.888,-1.541,1.791,0.01,0.015,7244.0,2993.0,1.0
0.026,0.915,-1.86,1.567,0.01,0.015,7749.0,3001.0,1.0
-0.16,0.933,-1.942,1.608,0.012,0.016,6249.0,3009.0,1.0
0.088,0.905,-1.504,1.95,0.01,0.015,7482.0,3181.0,1.0
-0.067,0.931,-1.841,1.638,0.012,0.015,5929.0,2853.0,1.0
-0.001,0.925,-1.682,1.759,0.011,0.016,7591.0,2846.0,1.0
-0.221,0.922,-1.999,1.528,0.011,0.015,7170.0,2935.0,1.0
-0.326,0.963,-2.05,1.516,0.012,0.016,6957.0,2967.0,1.0
0.158,0.927,-1.559,1.896,0.01,0.015,7952.0,3250.0,1.0
-0.435,0.994,-2.218,1.474,0.013,0.016,5651.0,2888.0,1.0
0.002,0.912,-1.728,1.672,0.011,0.016,7237.0,3103.0,1.0
-0.438,0.981,-2.252,1.452,0.013,0.015,5864.0,3252.0,1.0
-0.193,0.912,-1.922,1.473,0.011,0.015,7389.0,3138.0,1.0
0.126,0.942,-1.672,1.812,0.011,0.016,7856.0,2965.0,1.0
0.057,0.921,-1.711,1.726,0.011,0.016,6945.0,3192.0,1.0
0.128,0.911,-1.592,1.782,0.011,0.016,7297.0,2815.0,1.0
0.142,0.949,-1.649,1.95,0.011,0.015,7889.0,3196.0,1.0
0.385,0.941,-1.393,2.131,0.012,0.014,6314.0,2839.0,1.0
-0.231,0.944,-2.078,1.502,0.011,0.016,7372.0,3094.0,1.0
0.327,0.932,-1.445,2.036,0.011,0.015,8007.0,2942.0,1.0
0.173,0.92,-1.551,1.886,0.011,0.015,7131.0,3068.0,1.0
-0.086,0.933,-1.788,1.776,0.01,0.016,8685.0,2963.0,1.0
0.424,0.964,-1.329,2.289,0.013,0.016,5881.0,2973.0,1.0
0.374,0.926,-1.414,2.053,0.011,0.015,6725.0,2639.0,1.0
-0.402,0.986,-2.138,1.587,0.013,0.015,5596.0,3227.0,1.0
-0.325,0.945,-2.076,1.45,0.011,0.015,7124.0,3280.0,1.0
0.268,0.938,-1.549,1.996,0.011,0.015,7936.0,3196.0,1.0
-0.382,0.955,-2.211,1.392,0.013,0.015,5459.0,2977.0,1.0
-0.195,0.935,-1.843,1.655,0.011,0.015,7213.0,3160.0,1.0
-0.128,0.935,-1.848,1.637,0.011,0.016,7116.0,2821.0,1.0
0.525,0.986,-1.39,2.29,0.014,0.014,5146.0,2950.0,1.0
0.237,0.948,-1.577,1.961,0.011,0.015,8017.0,2671.0,1.0
0.08,0.91,-1.626,1.795,0.011,0.015,7255.0,3110.0,1.0
-0.014,0.911,-1.755,1.653,0.01,0.016,8581.0,3021.0,1.0
-0.193,0.931,-1.893,1.601,0.011,0.016,7595.0,2833.0,1.0
0.074,0.88,-1.573,1.691,0.01,0.014,7613.0,3303.0,1.0
-0.097,0.935,-1.904,1.65,0.011,0.015,7184.0,3044.0,1.0
-0.026,0.911,-1.702,1.739,0.011,0.015,6987.0,3107.0,1.0
-0.219,0.92,-2.025,1.437,0.011,0.015,7484.0,2825.0,1.0
-0.317,0.979,-2.147,1.537,0.012,0.016,6773.0,3076.0,1.0
0.153,0.931,-1.575,1.938,0.011,0.015,7520.0,2984.0,1.0
-0.427,1.0,-2.197,1.536,0.012,0.015,6446.0,3235.0,1.0
-0.021,0.899,-1.65,1.696,0.011,0.015,7244.0,3284.0,1.0
-0.436,1.003,-2.24,1.553,0.013,0.015,6206.0,3086.0,1.0
-0.203,0.941,-1.861,1.666,0.012,0.016,6457.0,2937.0,1.0
0.094,0.904,-1.633,1.814,0.01,0.015,7634.0,3270.0,1.0
0.018,0.915,-1.727,1.691,0.01,0.015,7659.0,2976.0,1.0
0.099,0.899,-1.614,1.828,0.011,0.014,6969.0,3075.0,1.0
0.166,0.916,-1.572,1.839,0.011,0.014,7411.0,3494.0,1.0
0.4,0.935,-1.294,2.215,0.012,0.014,6096.0,3175.0,1.0
-0.236,0.957,-1.913,1.682,0.011,0.015,7406.0,2906.0,1.0
0.343,0.916,-1.504,1.977,0.011,0.014,6876.0,3377.0,1.0
0.325,0.225,0.0,0.73,0.003,0.002,4255.0,2878.0,1.0
0.331,0.224,0.0,0.726,0.003,0.002,4501.0,2983.0,1.0
0.308,0.235,0.0,0.743,0.005,0.003,2696.0,2980.0,1.0
0.311,0.226,0.0,0.727,0.004,0.003,2510.0,2289.0,1.0
0.362,0.244,0.0,0.778,0.005,0.003,2309.0,2567.0,1.0
0.355,0.234,0.0,0.758,0.004,0.003,3224.0,2875.0,1.0
0.316,0.224,0.0,0.717,0.004,0.003,3553.0,2696.0,1.0
0.356,0.243,0.0,0.778,0.005,0.003,2272.0,2566.0,1.0
0.34,0.228,0.003,0.747,0.003,0.003,3988.0,2999.0,1.0
0.34,0.225,0.0,0.736,0.003,0.002,4636.0,2867.0,1.0
0.303,0.243,0.0,0.764,0.005,0.004,1972.0,2556.0,1.0
0.319,0.226,0.0,0.722,0.004,0.003,3366.0,2819.0,1.0
0.321,0.218,0.0,0.711,0.003,0.002,4026.0,3011.0,1.0
0.326,0.221,0.0,0.719,0.003,0.002,3856.0,2668.0,1.0
0.341,0.231,0.0,0.747,0.003,0.003,4051.0,2795.0,1.0
0.322,0.218,0.0,0.703,0.003,0.003,3720.0,2471.0,1.0
0.339,0.221,0.0,0.725,0.003,0.002,3766.0,2624.0,1.0
0.331,0.218,0.0,0.708,0.003,0.002,4264.0,2399.0,1.0
0.346,0.228,0.0,0.738,0.004,0.003,3492.0,2532.0,1.0
0.353,0.241,0.0,0.769,0.004,0.003,2982.0,2401.0,1.0
0.325,0.22,0.0,0.722,0.003,0.003,3712.0,2805.0,1.0
0.36,0.244,0.0,0.779,0.005,0.004,2257.0,2233.0,1.0
0.337,0.223,0.0,0.724,0.003,0.002,4274.0,2547.0,1.0
0.365,0.25,0.0,0.789,0.006,0.004,1886.0,2792.0,1.0
0.34,0.229,0.0,0.737,0.004,0.003,3595.0,2615.0,1.0
0.321,0.218,0.0,0.705,0.003,0.002,3861.0,2438.0,1.0
0.333,0.215,0.001,0.711,0.003,0.002,4441.0,3016.0,1.0
0.324,0.223,0.0,0.722,0.003,0.002,3443.0,2317.0,1.0
0.326,0.222,0.0,0.717,0.003,0.002,4217.0,3064.0,1.0
0.311,0.226,0.0,0.724,0.004,0.003,2514.0,2391.0,1.0
0.347,0.23,0.0,0.749,0.004,0.003,3574.0,2926.0,1.0
0.313,0.224,0.001,0.717,0.004,0.003,2882.0,3245.0,1.0
0.333,0.227,0.0,0.739,0.004,0.003,3357.0,2355.0,1.0
0.337,0.225,0.0,0.729,0.003,0.002,4584.0,2728.0,1.0
0.329,0.244,0.0,0.77,0.005,0.004,2297.0,2384.0,1.0
0.326,0.233,0.0,0.743,0.004,0.003,2906.0,3217.0,1.0
