mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
-0.098,0.931,-1.847,1.69,0.011,0.016,7254.0,2977.0,1.0
-0.018,0.927,-1.717,1.766,0.011,0.015,7353.0,3186.0,1.0
0.108,0.919,-1.708,1.74,0.01,0.017,7886.0,2890.0,1.0
-0.167,0.925,-1.884,1.586,0.01,0.016,8339.0,2802.0,1.0
-0.032,0.919,-1.692,1.714,0.01,0.016,8661.0,3408.0,1.0
-0.189,0.948,-1.993,1.597,0.011,0.017,7233.0,2991.0,1.0
-0.438,0.999,-2.172,1.552,0.014,0.014,5099.0,3182.0,1.0
0.251,0.91,-1.5,1.956,0.01,0.014,7589.0,3331.0,1.0
-0.467,0.988,-2.243,1.467,0.013,0.014,5904.0,3166.0,1.0
-0.046,0.91,-1.719,1.67,0.011,0.016,6369.0,2624.0,1.0
-0.421,1.019,-2.227,1.524,0.014,0.017,5206.0,2627.0,1.0
-0.186,0.92,-1.939,1.532,0.01,0.016,8411.0,2631.0,1.0
0.058,0.902,-1.523,1.871,0.01,0.014,8030.0,3132.0,1.0
0.084,0.913,-1.656,1.734,0.01,0.016,8886.0,3051.0,1.0
0.091,0.919,-1.589,1.865,0.01,0.016,7973.0,2592.0,1.0
0.213,0.893,-1.602,1.843,0.01,0.015,7444.0,3192.0,1.0
0.418,0.92,-1.316,2.141,0.012,0.013,6167.0,3287.0,1.0
-0.246,0.954,-2.095,1.491,0.011,0.015,7813.0,2895.0,1.0
0.315,0.914,-1.472,2.0,0.011,0.014,7710.0,2923.0,1.0
0.318,0.228,0.0,0.732,0.003,0.003,3655.0,2203.0,1.0
0.323,0.221,0.0,0.717,0.003,0.002,4166.0,2622.0,1.0
0.294,0.233,0.001,0.733,0.005,0.003,2533.0,2988.0,1.0
0.313,0.225,0.0,0.724,0.004,0.003,3382.0,1995.0,1.0
0.367,0.247,0.0,0.788,0.005,0.003,2485.0,2523.0,1.0
0.349,0.23,0.0,0.741,0.003,0.002,4251.0,2923.0,1.0
0.315,0.223,0.001,0.728,0.004,0.003,3364.0,2605.0,1.0
0.368,0.247,0.001,0.794,0.005,0.004,2343.0,2330.0,1.0
0.337,0.219,0.001,0.717,0.003,0.002,4344.0,3011.0,1.0
0.351,0.232,0.0,0.749,0.004,0.003,3989.0,2733.0,1.0
0.306,0.234,0.0,0.743,0.005,0.003,2386.0,2851.0,1.0
0.32,0.223,0.0,0.725,0.004,0.003,2891.0,2295.0,1.0
0.325,0.218,0.001,0.711,0.003,0.002,3956.0,2814.0,1.0
0.344,0.228,0.001,0.744,0.003,0.002,4201.0,3089.0,1.0
0.337,0.224,0.0,0.739,0.003,0.002,3898.0,2748.0,1.0
0.323,0.218,0.0,0.714,0.003,0.002,4010.0,3205.0,1.0
0.35,0.228,0.0,0.743,0.003,0.002,3919.0,2883.0,1.0
0.338,0.221,0.0,0.718,0.003,0.002,5143.0,3006.0,1.0
0.344,0.226,0.0,0.736,0.003,0.002,3680.0,2282.0,1.0
0.369,0.253,0.0,0.8,0.006,0.004,2195.0,2668.0,1.0
0.32,0.224,0.0,0.73,0.004,0.003,3587.0,3511.0,1.0
0.372,0.255,0.0,0.808,0.006,0.004,1808.0,2600.0,1.0
0.339,0.222,0.003,0.73,0.003,0.002,4739.0,2868.0,1.0
0.36,0.241,0.0,0.774,0.005,0.003,2420.0,3020.0,1.0
0.344,0.231,0.0,0.752,0.004,0.003,3371.0,2692.0,1.0
0.328,0.216,0.0,0.708,0.003,0.002,4421.0,3142.0,1.0
0.329,0.217,0.0,0.709,0.003,0.002,4174.0,3331.0,1.0
0.324,0.218,0.0,0.718,0.003,0.002,4339.0,3137.0,1.0
0.312,0.221,0.0,0.718,0.004,0.003,3922.0,3427.0,1.0
0.302,0.227,0.0,0.724,0.004,0.003,2651.0,3429.0,1.0
0.35,0.234,0.0,0.751,0.004,0.003,3360.0,2572.0,1.0
0.305,0.223,0.0,0.705,0.004,0.003,3356.0,3420.0,1.0
0.332,0.228,0.0,0.744,0.003,0.002,4346.0,2562.0,1.0
0.335,0.227,0.001,0.732,0.003,0.002,4117.0,2698.0,1.0
0.339,0.245,0.0,0.777,0.005,0.003,2794.0,3186.0,1.0
0.333,0.233,0.0,0.742,0.004,0.003,3080.0,2632.0,1.0
0.329,0.24,0.0,0.761,0.005,0.003,2555.0,2588.0,1.0
0.328,0.222,0.0,0.722,0.004,0.003,3436.0,2169.0,1.0
0.331,0.227,0.001,0.73,0.003,0.002,4208.0,3105.0,1.0
0.328,0.241,0.0,0.762,0.005,0.003,2522.0,2661.0,1.0
0.336,0.221,0.0,0.717,0.003,0.002,4393.0,2347.0,1.0
0.33,0.228,0.0,0.735,0.003,0.002,3770.0,2360.0,1.0
0.333,0.243,0.0,0.771,0.005,0.004,2234.0,2919.0,1.0
0.336,0.226,0.0,0.731,0.004,0.003,3523.0,2885.0,1.0
0.336,0.221,0.0,0.72,0.003,0.002,4333.0,2588.0,1.0
0.328,0.223,0.0,0.723,0.003,0.002,4173.0,2485.0,1.0
0.332,0.228,0.002,0.732,0.004,0.003,3823.0,3061.0,1.0
0.335,0.223,0.0,0.732,0.003,0.002,4128.0,2947.0,1.0
0.334,0.226,0.0,0.726,0.004,0.003,3747.0,2517.0,1.0
0.333,0.223,0.0,0.735,0.003,0.002,4263.0,2527.0,1.0
0.335,0.229,0.0,0.747,0.004,0.003,3554.0,2731.0,1.0
0.329,0.244,0.0,0.761,0.005,0.004,2185.0,2737.0,1.0
0.335,0.228,0.0,0.74,0.004,0.003,3462.0,2834.0,1.0
0.329,0.245,0.0,0.766,0.006,0.004,1942.0,3066.0,1.0
0.334,0.222,0.0,0.723,0.003,0.002,4853.0,2987.0,1.0
0.333,0.239,0.0,0.762,0.005,0.004,2360.0,2493.0,1.0
