home_team,away_team,n_sims,over_under,over_under_vegas_odds,home_spread,home_spread_vegas_odds,home_ml_vegas_odds,mean_total_pts,mean_home_pts,mean_away_pts,prob_over,prob_home_cover,prob_home_ml
WAS,PIT,25000,45.0,-110,-2.5,-105,-135,44.70372,22.3794,22.32432,0.4364,0.41456,0.4822
KC,DEN,25000,42.0,-110,-7.5,-105,-385,37.25852,20.96712,16.2914,0.28796,0.37708,0.64804
TB,SF,25000,50.5,-110,6.5,-110,240,56.60072,29.73304,26.86768,0.624,0.73688,0.55696
IND,BUF,25000,46.5,-110,4.0,-110,175,45.38228,20.47808,24.9042,0.43296,0.47192,0.34524
CHI,NE,25000,38.5,-110,-6.0,-110,-292,36.6676,22.42968,14.23792,0.3966,0.54232,0.76096
JAX,MIN,25000,43.0,-110,7.0,-110,260,51.45516,20.01876,31.4364,0.69024,0.37736,0.1996
NO,ATL,25000,46.5,-110,3.5,-110,158,48.66708,23.4032,25.26388,0.52912,0.55564,0.42672
LAC,TEN,25000,39.0,-110,-8.0,-110,-400,36.91384,23.76276,13.15108,0.37184,0.55752,0.82336
ARZ,NYJ,25000,46.5,-110,1.5,-105,105,43.63304,23.70076,19.93228,0.37612,0.66552,0.60076
DAL,PHI,25000,43.5,-110,7.5,-120,285,46.73288,20.5972,26.13568,0.56564,0.57144,0.31968
HST,DET,25000,49.5,-115,3.5,-115,158,48.26684,19.85132,28.41552,0.42872,0.3596,0.24908
