mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
10.36,1.781,7.194,13.71,0.02,0.016,9008.0,2760.0,1.0
11.136,1.943,7.705,14.768,0.023,0.018,7689.0,2746.0,1.0
0.104,0.918,-1.633,1.746,0.011,0.016,7472.0,3116.0,1.0
-0.073,0.911,-1.746,1.656,0.011,0.017,7249.0,3053.0,1.0
0.414,0.985,-1.512,2.14,0.014,0.014,5205.0,2818.0,1.0
0.381,0.975,-1.451,2.184,0.012,0.015,6179.0,3093.0,1.0
-0.365,0.946,-2.055,1.481,0.011,0.014,7305.0,3579.0,1.0
-0.209,0.944,-1.89,1.653,0.01,0.016,8828.0,2961.0,1.0
0.348,0.937,-1.364,2.132,0.011,0.016,7037.0,3180.0,1.0
-0.305,0.896,-2.008,1.399,0.01,0.013,7574.0,3319.0,1.0
-0.087,0.927,-1.803,1.647,0.01,0.016,9541.0,3050.0,1.0
0.03,0.886,-1.584,1.747,0.01,0.015,7456.0,3001.0,1.0
0.49,1.003,-1.381,2.312,0.013,0.014,5603.0,3321.0,1.0
0.342,0.967,-1.628,2.039,0.012,0.015,7039.0,3194.0,1.0
0.087,0.918,-1.76,1.704,0.01,0.016,7806.0,2887.0,1.0
-0.066,0.907,-1.726,1.672,0.01,0.015,8352.0,3361.0,1.0
-0.187,0.906,-1.789,1.639,0.01,0.015,8166.0,3340.0,1.0
0.088,0.913,-1.629,1.793,0.01,0.016,8133.0,3028.0,1.0
-0.115,0.915,-1.842,1.675,0.011,0.015,7114.0,3194.0,1.0
-0.01,0.912,-1.781,1.631,0.009,0.018,9508.0,3091.0,1.0
-0.244,0.938,-1.918,1.638,0.011,0.015,7265.0,3145.0,1.0
-0.252,0.928,-1.94,1.548,0.01,0.015,8182.0,2937.0,1.0
0.204,0.946,-1.543,2.037,0.011,0.017,7746.0,2650.0,1.0
-0.465,0.948,-2.167,1.466,0.011,0.013,7035.0,3526.0,1.0
-0.036,0.903,-1.771,1.66,0.01,0.015,8097.0,2946.0,1.0
-0.634,0.977,-2.376,1.32,0.014,0.013,5036.0,3388.0,1.0
-0.244,0.903,-1.936,1.458,0.01,0.015,9020.0,3458.0,1.0
0.223,0.915,-1.584,1.879,0.011,0.014,7301.0,3217.0,1.0
0.14,0.923,-1.727,1.763,0.01,0.015,7801.0,3175.0,1.0
0.09,0.91,-1.572,1.892,0.01,0.016,7713.0,2924.0,1.0
0.028,0.916,-1.752,1.656,0.011,0.015,7530.0,3220.0,1.0
0.355,0.947,-1.441,2.128,0.011,0.014,6903.0,3146.0,1.0
-0.178,0.882,-1.878,1.486,0.01,0.014,7288.0,3074.0,1.0
0.349,0.983,-1.547,2.155,0.011,0.017,7971.0,2869.0,1.0
0.067,0.915,-1.593,1.8,0.01,0.015,9266.0,3274.0,1.0
-0.073,0.882,-1.676,1.629,0.01,0.015,8450.0,3310.0,1.0
0.424,0.969,-1.452,2.215,0.012,0.014,6514.0,3012.0,1.0
0.4,0.95,-1.3,2.252,0.012,0.015,6004.0,2990.0,1.0
-0.324,0.928,-2.032,1.432,0.011,0.015,7562.0,3430.0,1.0
-0.218,0.926,-1.997,1.545,0.01,0.014,7908.0,3182.0,1.0
0.319,0.93,-1.486,2.053,0.012,0.015,6204.0,3040.0,1.0
-0.278,0.953,-1.983,1.573,0.011,0.015,8183.0,2992.0,1.0
-0.104,0.912,-1.938,1.558,0.01,0.015,8323.0,3159.0,1.0
0.005,0.903,-1.57,1.894,0.01,0.015,8535.0,3160.0,1.0
0.508,0.995,-1.389,2.376,0.013,0.014,5598.0,3146.0,1.0
0.335,0.912,-1.4,1.994,0.011,0.014,6414.0,3019.0,1.0
0.095,0.909,-1.589,1.849,0.01,0.016,8599.0,2605.0,1.0
-0.093,0.912,-1.881,1.558,0.01,0.014,7866.0,3071.0,1.0
-0.197,0.919,-1.849,1.63,0.01,0.015,8186.0,3079.0,1.0
0.058,0.921,-1.671,1.823,0.011,0.015,7617.0,3070.0,1.0
-0.132,0.922,-1.947,1.557,0.01,0.014,8575.0,3136.0,1.0
-0.022,0.907,-1.654,1.68,0.01,0.015,7582.0,3205.0,1.0
-0.231,0.946,-1.869,1.643,0.011,0.015,7360.0,3448.0,1.0
-0.269,0.936,-1.975,1.547,0.011,0.016,7670.0,2956.0,1.0
0.188,0.9,-1.636,1.759,0.01,0.014,7908.0,3304.0,1.0
-0.453,0.978,-2.232,1.407,0.012,0.015,6305.0,3170.0,1.0
-0.041,0.896,-1.706,1.634,0.011,0.014,6537.0,3301.0,1.0
-0.555,0.988,-2.28,1.344,0.015,0.013,4274.0,3402.0,1.0
-0.257,0.938,-1.932,1.601,0.011,0.015,7576.0,3316.0,1.0
0.189,0.923,-1.495,2.017,0.011,0.015,6986.0,3099.0,1.0
0.104,0.92,-1.565,1.849,0.01,0.015,8268.0,3420.0,1.0
0.05,0.931,-1.629,1.828,0.01,0.017,8662.0,2915.0,1.0
0.017,0.914,-1.732,1.769,0.01,0.016,7999.0,3148.0,1.0
0.364,0.954,-1.536,2.107,0.011,0.016,6918.0,3212.0,1.0
-0.182,0.927,-1.935,1.583,0.01,0.015,8745.0,3357.0,1.0
0.332,0.942,-1.373,2.159,0.01,0.015,9615.0,2909.0,1.0
0.042,0.904,-1.76,1.697,0.01,0.016,7827.0,3128.0,1.0
-0.114,0.889,-1.72,1.627,0.01,0.015,8005.0,2816.0,1.0
0.443,0.953,-1.461,2.16,0.012,0.014,6723.0,3059.0,1.0
