home_team,away_team,n_sims,over_under,over_under_vegas_odds,home_spread,home_spread_vegas_odds,home_ml_vegas_odds,mean_total_pts,mean_home_pts,mean_away_pts,prob_over,prob_home_cover,prob_home_ml
MIA,NYJ,25000,46.5,-110,-8.5,-120,-450,39.72704,20.39388,19.33316,0.257,0.247,0.51608
TB,LV,25000,50.5,-115,-17.5,-120,-2500,52.99248,32.55804,20.43444,0.52968,0.33484,0.78652
NYG,NO,25000,39.5,-110,9.5,-115,350,39.10804,17.82712,21.28092,0.4514,0.71408,0.36008
TEN,JAX,25000,32.5,-110,-4.5,-115,-230,46.45472,24.23148,22.22324,0.86056,0.41284,0.54212
ARZ,SEA,25000,45.5,-110,-3.0,100,-155,45.18056,24.28236,20.8982,0.45332,0.48424,0.58452
LAR,BUF,25000,50.0,-110,3.5,-105,158,48.4534,20.31512,28.13828,0.40624,0.38208,0.2682
SF,CHI,25000,43.5,-110,-3.0,-110,-160,41.91548,21.4934,20.42208,0.4164,0.41088,0.51544
KC,LAC,25000,43.0,-110,-4.0,-110,-220,36.71708,18.37296,18.34412,0.24444,0.32956,0.47968
