mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
8.394,1.178,6.262,10.555,0.013,0.01,8788.0,2913.0,1.0
9.651,1.446,7.214,12.5,0.017,0.013,8725.0,2678.0,1.0
0.029,0.907,-1.671,1.763,0.01,0.015,8291.0,3188.0,1.0
-0.008,0.916,-1.717,1.755,0.011,0.015,7396.0,3156.0,1.0
0.426,0.971,-1.415,2.173,0.013,0.014,5338.0,2949.0,1.0
0.479,0.99,-1.388,2.252,0.014,0.014,4640.0,3543.0,1.0
-0.226,0.899,-1.865,1.484,0.011,0.014,7113.0,3321.0,1.0
-0.343,0.899,-2.018,1.401,0.012,0.013,5605.0,3236.0,1.0
0.348,0.954,-1.399,2.157,0.012,0.014,6245.0,2910.0,1.0
-0.425,0.939,-2.179,1.361,0.012,0.014,5811.0,2910.0,1.0
-0.039,0.896,-1.785,1.643,0.011,0.014,7196.0,3578.0,1.0
0.11,0.896,-1.66,1.723,0.01,0.014,7310.0,3349.0,1.0
0.485,1.006,-1.455,2.211,0.014,0.015,5126.0,3383.0,1.0
0.335,0.938,-1.567,1.996,0.012,0.016,5865.0,2911.0,1.0
-0.016,0.894,-1.675,1.636,0.011,0.014,6971.0,3209.0,1.0
-0.055,0.896,-1.721,1.657,0.01,0.014,7864.0,3210.0,1.0
-0.262,0.918,-1.874,1.615,0.01,0.014,7976.0,3131.0,1.0
0.135,0.92,-1.63,1.853,0.011,0.015,7231.0,2831.0,1.0
0.042,0.926,-1.756,1.787,0.011,0.015,6603.0,2823.0,1.0
-0.009,0.907,-1.788,1.645,0.011,0.016,6585.0,2559.0,1.0
-0.288,0.922,-1.998,1.397,0.011,0.015,6730.0,3117.0,1.0
-0.177,0.891,-1.971,1.439,0.011,0.014,7024.0,3162.0,1.0
0.273,0.953,-1.5,2.05,0.012,0.015,6777.0,3115.0,1.0
-0.414,0.942,-2.215,1.323,0.012,0.014,6005.0,3283.0,1.0
-0.154,0.893,-1.811,1.557,0.01,0.015,8316.0,3368.0,1.0
-0.631,0.994,-2.46,1.205,0.017,0.014,3698.0,2899.0,1.0
-0.196,0.925,-1.819,1.661,0.01,0.016,7796.0,2807.0,1.0
0.258,0.931,-1.585,1.878,0.01,0.015,8135.0,3414.0,1.0
0.061,0.902,-1.581,1.78,0.011,0.016,7108.0,3065.0,1.0
0.025,0.894,-1.636,1.715,0.01,0.016,8498.0,2965.0,1.0
0.016,0.913,-1.695,1.698,0.01,0.015,7639.0,2901.0,1.0
0.374,0.957,-1.51,2.094,0.013,0.014,5424.0,3078.0,1.0
-0.205,0.932,-1.936,1.624,0.011,0.016,6731.0,2924.0,1.0
0.347,0.944,-1.509,2.074,0.012,0.015,6156.0,3027.0,1.0
-0.009,0.899,-1.638,1.767,0.01,0.015,7578.0,3047.0,1.0
-0.025,0.885,-1.773,1.618,0.01,0.015,7099.0,2749.0,1.0
0.462,0.944,-1.36,2.216,0.013,0.014,5396.0,3209.0,1.0
0.503,0.966,-1.378,2.214,0.014,0.014,5129.0,3195.0,1.0
-0.251,0.912,-1.852,1.572,0.011,0.014,6607.0,3194.0,1.0
-0.354,0.942,-2.079,1.402,0.012,0.014,5915.0,3354.0,1.0
