home_team,away_team,n_sims,over_under,over_under_vegas_odds,home_spread,home_spread_vegas_odds,home_ml_vegas_odds,mean_total_pts,mean_home_pts,mean_away_pts,prob_over,prob_home_cover,prob_home_ml
PIT,BLT,25000,48.5,-110,3.0,100,143,50.3926,26.13604,24.25656,0.5166,0.62252,0.53788
CHI,GB,25000,40.5,-110,6.0,-105,210,40.85012,18.22976,22.62036,0.47444,0.54468,0.33768
DET,JAX,25000,47.5,-115,-13.5,-115,-1100,52.42732,34.0422,18.38512,0.59388,0.53156,0.84584
NO,CLV,25000,44.0,-110,1.5,-105,105,42.23104,23.42624,18.8048,0.38992,0.6892,0.62352
NYJ,IND,25000,43.5,-110,-4.0,-110,-205,40.37876,19.98492,20.39384,0.36184,0.32584,0.4662
NE,LAR,25000,43.5,-105,4.0,-115,175,39.8048,18.06728,21.73752,0.345,0.5,0.35812
MIA,LV,25000,43.5,-110,-7.5,-110,-420,41.32232,21.71692,19.6054,0.39096,0.31184,0.55076
TEN,MIN,25000,39.5,-110,6.0,-110,215,44.14296,17.113,27.02996,0.6146,0.3722,0.2034
SF,SEA,25000,48.5,-110,-6.0,-110,-267,51.48312,27.73136,23.75176,0.54988,0.41552,0.59404
DEN,ATL,25000,45.0,-115,-2.0,-105,-125,39.61328,20.9018,18.71148,0.278,0.48268,0.55472
BUF,KC,25000,46.0,-110,-2.0,-110,-135,44.08816,22.83336,21.2548,0.38688,0.45996,0.52696
