mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
10.483,2.155,6.523,14.365,0.028,0.022,7275.0,2980.0,1.0
12.151,2.578,7.837,17.088,0.032,0.025,6969.0,3270.0,1.0
0.201,0.917,-1.517,1.951,0.011,0.014,7117.0,3411.0,1.0
0.044,0.914,-1.695,1.735,0.011,0.016,7552.0,2822.0,1.0
0.472,0.975,-1.5,2.139,0.013,0.014,6025.0,3357.0,1.0
0.33,0.954,-1.46,2.082,0.012,0.015,6532.0,3136.0,1.0
-0.369,0.942,-2.197,1.315,0.012,0.014,6477.0,3321.0,1.0
-0.298,0.926,-1.945,1.573,0.011,0.014,7125.0,3227.0,1.0
0.247,0.942,-1.489,2.073,0.011,0.015,7862.0,3258.0,1.0
-0.414,0.931,-2.097,1.452,0.013,0.015,5141.0,2987.0,1.0
-0.118,0.9,-1.828,1.544,0.011,0.014,7130.0,3282.0,1.0
-0.185,0.922,-2.001,1.484,0.011,0.015,6895.0,3382.0,1.0
0.442,0.985,-1.405,2.247,0.013,0.015,6234.0,3154.0,1.0
0.254,0.907,-1.49,1.966,0.01,0.014,8247.0,3147.0,1.0
0.076,0.924,-1.615,1.923,0.011,0.016,7783.0,2866.0,1.0
-0.032,0.917,-1.893,1.655,0.01,0.015,8531.0,3039.0,1.0
-0.053,0.907,-1.674,1.77,0.011,0.015,6878.0,2927.0,1.0
0.128,0.94,-1.591,1.933,0.011,0.017,7594.0,2713.0,1.0
-0.113,0.905,-1.804,1.643,0.01,0.015,7933.0,2959.0,1.0
-0.057,0.881,-1.83,1.522,0.01,0.014,7483.0,3275.0,1.0
-0.171,0.937,-1.924,1.621,0.011,0.015,7598.0,3041.0,1.0
-0.396,0.937,-2.172,1.339,0.013,0.014,5429.0,3333.0,1.0
0.173,0.925,-1.525,1.921,0.011,0.015,7175.0,2987.0,1.0
-0.444,0.97,-2.179,1.398,0.013,0.014,5835.0,3235.0,1.0
-0.01,0.927,-1.713,1.741,0.011,0.017,7577.0,2888.0,1.0
-0.484,0.954,-2.171,1.411,0.014,0.013,4857.0,2894.0,1.0
-0.235,0.912,-1.951,1.495,0.011,0.015,7260.0,3095.0,1.0
0.182,0.898,-1.481,1.891,0.011,0.015,6609.0,3183.0,1.0
0.153,0.893,-1.577,1.817,0.01,0.016,7910.0,2776.0,1.0
0.147,0.89,-1.565,1.84,0.011,0.015,7101.0,3016.0,1.0
0.226,0.96,-1.479,2.171,0.012,0.016,6194.0,2759.0,1.0
0.367,0.945,-1.383,2.111,0.012,0.014,6198.0,3264.0,1.0
-0.183,0.923,-1.879,1.538,0.011,0.015,7017.0,3024.0,1.0
0.346,0.932,-1.376,2.133,0.012,0.016,6674.0,3028.0,1.0
0.181,0.926,-1.573,1.89,0.01,0.015,9050.0,3401.0,1.0
0.04,0.915,-1.692,1.713,0.01,0.016,7585.0,2934.0,1.0
0.465,0.966,-1.38,2.242,0.013,0.014,5116.0,2904.0,1.0
0.332,0.948,-1.469,2.118,0.011,0.015,6989.0,3336.0,1.0
-0.403,0.949,-2.085,1.472,0.012,0.014,6004.0,3202.0,1.0
-0.301,0.935,-1.972,1.56,0.012,0.015,6414.0,3186.0,1.0
0.224,0.947,-1.563,1.988,0.011,0.015,7926.0,3295.0,1.0
-0.408,0.956,-2.145,1.401,0.012,0.016,6150.0,2840.0,1.0
-0.111,0.887,-1.783,1.545,0.01,0.015,7163.0,3135.0,1.0
-0.196,0.924,-2.03,1.474,0.011,0.015,7287.0,2960.0,1.0
0.436,0.961,-1.416,2.165,0.013,0.014,5910.0,3244.0,1.0
0.247,0.949,-1.488,2.086,0.011,0.016,7073.0,2904.0,1.0
0.06,0.911,-1.577,1.854,0.01,0.016,8003.0,3086.0,1.0
-0.059,0.933,-1.872,1.656,0.011,0.016,7037.0,2993.0,1.0
-0.05,0.919,-1.84,1.634,0.011,0.016,6972.0,2985.0,1.0
0.104,0.907,-1.603,1.811,0.011,0.016,7313.0,2970.0,1.0
-0.129,0.91,-1.952,1.546,0.01,0.017,7507.0,2659.0,1.0
-0.063,0.896,-1.767,1.573,0.01,0.016,7447.0,2984.0,1.0
-0.194,0.914,-1.908,1.557,0.01,0.014,7583.0,3366.0,1.0
-0.385,0.946,-2.084,1.49,0.012,0.013,6338.0,3305.0,1.0
0.182,0.904,-1.647,1.747,0.011,0.014,7442.0,3483.0,1.0
-0.452,0.968,-2.105,1.506,0.013,0.014,5142.0,3159.0,1.0
-0.031,0.889,-1.724,1.564,0.01,0.014,7873.0,3252.0,1.0
-0.44,0.982,-2.264,1.425,0.014,0.015,5133.0,3072.0,1.0
-0.254,0.931,-1.962,1.551,0.011,0.014,6623.0,3604.0,1.0
0.163,0.884,-1.514,1.876,0.01,0.013,7413.0,3432.0,1.0
0.131,0.926,-1.674,1.812,0.01,0.016,9310.0,2912.0,1.0
0.137,0.929,-1.684,1.841,0.012,0.018,6490.0,2364.0,1.0
0.198,0.915,-1.627,1.81,0.011,0.015,7092.0,3029.0,1.0
0.392,0.944,-1.425,2.151,0.011,0.014,7314.0,3328.0,1.0
-0.205,0.927,-1.843,1.662,0.011,0.016,7549.0,3200.0,1.0
0.313,0.965,-1.625,2.002,0.012,0.017,6553.0,2656.0,1.0
0.167,0.904,-1.581,1.856,0.011,0.014,7166.0,3307.0,1.0
0.02,0.897,-1.682,1.683,0.01,0.015,7295.0,2885.0,1.0
0.504,0.948,-1.372,2.164,0.014,0.014,4883.0,3041.0,1.0
0.314,0.93,-1.461,2.009,0.011,0.014,6774.0,3007.0,1.0
-0.372,0.995,-2.184,1.535,0.012,0.015,6724.0,3201.0,1.0
-0.307,0.96,-2.159,1.415,0.011,0.016,7305.0,3064.0,1.0
0.214,0.895,-1.406,1.965,0.011,0.014,6679.0,3249.0,1.0
-0.393,0.998,-2.224,1.518,0.013,0.017,5914.0,2901.0,1.0
-0.137,0.913,-1.824,1.655,0.012,0.016,6098.0,3269.0,1.0
-0.19,0.936,-2.005,1.583,0.011,0.015,7915.0,3192.0,1.0
0.459,0.952,-1.39,2.14,0.012,0.013,6019.0,3513.0,1.0
0.218,0.933,-1.451,2.024,0.011,0.014,7688.0,3261.0,1.0
0.059,0.937,-1.737,1.793,0.011,0.016,7498.0,3114.0,1.0
-0.058,0.917,-1.867,1.64,0.01,0.016,7896.0,3001.0,1.0
-0.091,0.925,-1.823,1.712,0.01,0.017,7958.0,2977.0,1.0
0.096,0.892,-1.51,1.849,0.011,0.019,6193.0,2633.0,1.0
-0.145,0.898,-1.861,1.568,0.01,0.014,8119.0,3160.0,1.0
-0.098,0.896,-1.849,1.516,0.01,0.015,7519.0,3128.0,1.0
-0.193,0.925,-2.028,1.437,0.011,0.017,7411.0,2943.0,1.0
-0.401,0.963,-2.259,1.364,0.013,0.014,5338.0,3228.0,1.0
0.152,0.92,-1.542,1.916,0.011,0.016,7403.0,2961.0,1.0
-0.454,1.004,-2.315,1.43,0.014,0.015,5126.0,2857.0,1.0
-0.05,0.94,-1.772,1.821,0.011,0.016,7459.0,3204.0,1.0
-0.428,0.996,-2.267,1.499,0.014,0.015,5413.0,3096.0,1.0
-0.25,0.907,-1.928,1.501,0.011,0.013,6539.0,3401.0,1.0
0.138,0.904,-1.63,1.795,0.01,0.016,7510.0,2906.0,1.0
0.123,0.934,-1.635,1.894,0.01,0.016,8261.0,3168.0,1.0
0.118,0.893,-1.549,1.798,0.011,0.015,6288.0,3213.0,1.0
0.214,0.928,-1.583,1.944,0.011,0.015,7424.0,3024.0,1.0
0.365,0.938,-1.355,2.213,0.011,0.014,7083.0,3297.0,1.0
-0.203,0.955,-1.992,1.538,0.011,0.015,7960.0,3361.0,1.0
0.322,0.912,-1.404,2.014,0.011,0.015,6549.0,2841.0,1.0
0.328,0.225,0.0,0.737,0.004,0.003,3756.0,2971.0,1.0
0.324,0.218,0.0,0.712,0.003,0.002,4049.0,2862.0,1.0
0.305,0.237,0.0,0.764,0.005,0.004,2040.0,2372.0,1.0
0.312,0.224,0.0,0.715,0.004,0.003,2969.0,2643.0,1.0
0.351,0.245,0.0,0.779,0.005,0.003,2507.0,2781.0,1.0
0.351,0.23,0.001,0.749,0.004,0.003,2967.0,2406.0,1.0
0.318,0.222,0.0,0.715,0.004,0.003,3518.0,2622.0,1.0
0.354,0.242,0.0,0.773,0.005,0.003,2481.0,2468.0,1.0
0.34,0.223,0.001,0.729,0.004,0.003,3517.0,2955.0,1.0
0.338,0.229,0.0,0.735,0.004,0.003,3502.0,2537.0,1.0
0.301,0.233,0.0,0.732,0.005,0.003,2195.0,2413.0,1.0
