mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
10.014,1.771,6.904,13.35,0.018,0.014,10989.0,2773.0,1.0
11.318,2.108,7.592,15.357,0.025,0.02,8056.0,3142.0,1.0
0.075,0.924,-1.654,1.794,0.01,0.016,9408.0,3136.0,1.0
-0.025,0.915,-1.826,1.656,0.01,0.017,8519.0,3009.0,1.0
0.468,0.984,-1.491,2.197,0.013,0.015,5492.0,3422.0,1.0
0.371,0.95,-1.491,2.13,0.012,0.015,6451.0,3174.0,1.0
-0.358,0.917,-2.152,1.335,0.011,0.013,7321.0,3448.0,1.0
-0.189,0.902,-1.848,1.478,0.011,0.014,7341.0,3632.0,1.0
0.279,0.92,-1.464,2.004,0.011,0.015,6977.0,3110.0,1.0
-0.419,0.927,-2.202,1.266,0.012,0.013,6052.0,3489.0,1.0
-0.067,0.926,-1.839,1.675,0.01,0.018,8325.0,2796.0,1.0
-0.06,0.875,-1.651,1.641,0.01,0.014,7242.0,3000.0,1.0
0.483,1.033,-1.561,2.234,0.014,0.015,5409.0,3030.0,1.0
0.299,0.916,-1.49,1.965,0.011,0.014,7593.0,3367.0,1.0
0.135,0.943,-1.696,1.904,0.011,0.015,7436.0,3124.0,1.0
-0.079,0.906,-1.798,1.661,0.01,0.015,7662.0,3076.0,1.0
-0.158,0.89,-1.869,1.465,0.009,0.014,9023.0,3263.0,1.0
0.077,0.902,-1.711,1.701,0.01,0.017,8521.0,2588.0,1.01
-0.055,0.904,-1.655,1.698,0.01,0.015,8100.0,3142.0,1.0
-0.0,0.928,-1.738,1.759,0.01,0.017,8698.0,3110.0,1.0
-0.19,0.932,-1.909,1.601,0.011,0.016,7117.0,2785.0,1.0
-0.253,0.924,-2.046,1.447,0.011,0.015,6983.0,2954.0,1.0
0.225,0.949,-1.554,2.029,0.011,0.015,7732.0,3112.0,1.0
-0.497,0.958,-2.245,1.32,0.013,0.014,5630.0,3307.0,1.0
0.016,0.879,-1.68,1.633,0.01,0.015,8299.0,2999.0,1.0
-0.565,0.979,-2.294,1.392,0.014,0.012,4744.0,2953.0,1.0
-0.213,0.899,-1.824,1.594,0.01,0.014,8005.0,3142.0,1.0
0.223,0.944,-1.491,2.066,0.011,0.015,8145.0,3486.0,1.0
0.059,0.903,-1.475,1.846,0.01,0.017,7481.0,2750.0,1.0
0.079,0.929,-1.642,1.892,0.01,0.017,8161.0,2856.0,1.0
0.108,0.935,-1.616,1.937,0.01,0.016,8352.0,3008.0,1.0
0.398,0.936,-1.394,2.092,0.012,0.013,6025.0,3416.0,1.0
-0.148,0.91,-1.727,1.701,0.01,0.016,8220.0,2669.0,1.0
0.321,0.93,-1.52,1.969,0.011,0.015,7014.0,2937.0,1.0
0.052,0.915,-1.648,1.783,0.01,0.015,8445.0,3297.0,1.0
-0.04,0.908,-1.765,1.631,0.01,0.016,8774.0,2958.0,1.0
0.487,0.969,-1.387,2.221,0.014,0.013,5101.0,3496.0,1.0
0.4,0.91,-1.384,2.029,0.011,0.013,6995.0,3008.0,1.0
-0.365,0.943,-1.954,1.65,0.012,0.014,6195.0,3564.0,1.0
-0.212,0.909,-1.985,1.446,0.01,0.016,7719.0,2779.0,1.0
0.261,0.918,-1.399,2.098,0.01,0.014,8178.0,2994.0,1.0
-0.417,0.951,-2.118,1.465,0.012,0.015,6694.0,3172.0,1.0
-0.068,0.92,-1.679,1.821,0.01,0.015,7818.0,3331.0,1.0
-0.098,0.908,-1.872,1.578,0.01,0.017,9008.0,2840.0,1.0
0.508,0.994,-1.312,2.385,0.013,0.014,5949.0,3468.0,1.0
0.308,0.945,-1.564,2.014,0.012,0.014,5837.0,2860.0,1.0
0.088,0.921,-1.601,1.867,0.01,0.017,8241.0,2859.0,1.0
-0.082,0.892,-1.708,1.649,0.01,0.014,7381.0,3113.0,1.0
-0.189,0.906,-1.921,1.487,0.011,0.015,6939.0,3361.0,1.0
0.057,0.894,-1.707,1.691,0.01,0.016,8654.0,2944.0,1.0
-0.069,0.898,-1.809,1.598,0.01,0.015,8787.0,3291.0,1.0
-0.013,0.909,-1.684,1.791,0.01,0.016,9037.0,2848.0,1.0
-0.201,0.932,-1.87,1.613,0.011,0.015,7489.0,3378.0,1.0
-0.276,0.913,-1.945,1.514,0.01,0.015,7970.0,2906.0,1.0
0.226,0.912,-1.514,1.913,0.011,0.017,7453.0,2629.0,1.0
-0.472,0.977,-2.298,1.374,0.012,0.014,6328.0,3307.0,1.0
-0.001,0.915,-1.693,1.719,0.01,0.016,8457.0,2902.0,1.0
-0.528,1.009,-2.258,1.446,0.015,0.013,4568.0,3217.0,1.0
-0.219,0.911,-1.83,1.58,0.011,0.015,6491.0,3373.0,1.0
0.194,0.918,-1.487,1.949,0.01,0.015,8321.0,3166.0,1.0
0.043,0.914,-1.79,1.687,0.01,0.016,8731.0,3343.0,1.0
0.073,0.912,-1.612,1.805,0.01,0.015,8166.0,3348.0,1.0
0.075,0.917,-1.651,1.84,0.01,0.016,9158.0,2806.0,1.0
0.389,0.978,-1.45,2.216,0.012,0.015,6726.0,3615.0,1.0
-0.163,0.903,-1.898,1.486,0.01,0.015,7519.0,3268.0,1.0
0.317,0.928,-1.39,2.145,0.011,0.017,6912.0,2601.0,1.0
0.052,0.921,-1.695,1.832,0.01,0.016,8318.0,3101.0,1.0
-0.071,0.936,-1.962,1.585,0.01,0.016,8272.0,3114.0,1.0
0.48,0.971,-1.403,2.217,0.013,0.014,5765.0,3288.0,1.0
0.362,0.913,-1.385,2.005,0.011,0.013,6455.0,3085.0,1.0
-0.337,0.936,-2.032,1.501,0.01,0.013,7935.0,3265.0,1.0
-0.213,0.938,-1.929,1.585,0.01,0.015,8034.0,3178.0,1.0
0.254,0.934,-1.529,1.985,0.011,0.014,7620.0,3244.0,1.0
-0.409,0.958,-2.213,1.38,0.012,0.014,6765.0,3133.0,1.0
-0.113,0.905,-1.844,1.559,0.01,0.016,7659.0,3002.0,1.0
-0.099,0.898,-1.796,1.648,0.01,0.014,8274.0,3283.0,1.0
0.5,0.969,-1.257,2.377,0.014,0.014,4626.0,2789.0,1.0
0.267,0.929,-1.473,2.057,0.011,0.014,7094.0,2976.0,1.0
0.095,0.918,-1.678,1.831,0.01,0.015,8997.0,3111.0,1.0
-0.111,0.931,-1.909,1.604,0.011,0.016,7368.0,3112.0,1.0
-0.196,0.923,-2.04,1.485,0.011,0.015,7762.0,3371.0,1.0
0.043,0.924,-1.777,1.662,0.01,0.016,9184.0,3103.0,1.0
-0.097,0.88,-1.782,1.59,0.009,0.014,8717.0,2847.0,1.0
-0.028,0.929,-1.836,1.658,0.01,0.017,7880.0,3196.0,1.0
-0.217,0.896,-1.871,1.491,0.01,0.014,8061.0,3070.0,1.0
-0.269,0.941,-2.027,1.516,0.011,0.015,7665.0,3168.0,1.0
0.187,0.924,-1.546,1.961,0.01,0.015,7900.0,3261.0,1.0
-0.452,0.989,-2.237,1.467,0.013,0.015,5786.0,3026.0,1.0
-0.001,0.907,-1.659,1.726,0.01,0.016,8180.0,2786.0,1.0
-0.498,1.047,-2.406,1.492,0.015,0.015,4812.0,3273.0,1.0
-0.25,0.94,-1.987,1.525,0.011,0.015,7857.0,3304.0,1.0
0.177,0.908,-1.532,1.893,0.01,0.015,9016.0,3157.0,1.0
0.003,0.928,-1.676,1.823,0.01,0.016,8159.0,3219.0,1.0
0.042,0.901,-1.661,1.726,0.011,0.014,6945.0,3414.0,1.0
