home_team,away_team,n_sims,over_under,home_spread,mean_total_pts,mean_home_pts,mean_away_pts,prob_over,prob_home_cover,prob_home_ml
MIN,DET,25000,50.5,-2.0,43.26272,23.81208,19.45064,0.26532,0.54428,0.61096
GB,HST,25000,48.0,-3.0,48.80292,27.33224,21.47068,0.46816,0.55516,0.64272
NYG,PHI,25000,42.5,3.0,36.03012,16.77644,19.25368,0.25912,0.50272,0.38864
ATL,SEA,25000,52.0,-3.0,53.7902,28.24708,25.54312,0.49208,0.46816,0.55112
CLV,CIN,25000,41.5,5.5,45.30588,18.59536,26.71052,0.57348,0.43192,0.2572
BUF,TEN,25000,41.0,-9.5,47.37272,26.11076,21.26196,0.62908,0.3514,0.61848
IND,MIA,25000,44.5,-3.0,38.91424,24.85,14.06424,0.29284,0.72292,0.8054
WAS,CAR,25000,51.5,-9.5,56.51128,37.684,18.82728,0.57376,0.69192,0.86552
LAR,LV,25000,43.5,-7.0,49.39552,26.99052,22.405,0.62508,0.40552,0.60588
SF,KC,25000,47.0,-2.0,44.60752,21.22528,23.38224,0.37788,0.35852,0.41972
PIT,NYJ,25000,39.0,2.0,33.52688,17.90148,15.6254,0.258,0.63812,0.56052
