mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
10.731,3.038,5.653,16.17,0.045,0.034,4961.0,2886.0,1.0
12.458,3.855,6.424,19.932,0.064,0.047,4081.0,2789.0,1.0
0.016,0.913,-1.789,1.605,0.013,0.014,5306.0,3158.0,1.0
0.128,0.952,-1.866,1.825,0.014,0.016,4650.0,2486.0,1.0
0.299,1.004,-1.616,2.101,0.015,0.016,4290.0,3092.0,1.0
0.22,0.897,-1.429,1.941,0.014,0.014,4311.0,2891.0,1.0
-0.304,0.944,-2.072,1.469,0.014,0.015,4337.0,2946.0,1.0
-0.031,0.925,-1.809,1.67,0.013,0.016,5131.0,2897.0,1.0
0.209,0.931,-1.523,1.996,0.013,0.014,4818.0,3030.0,1.0
-0.464,0.942,-2.137,1.405,0.015,0.013,4160.0,3262.0,1.0
0.068,0.905,-1.753,1.674,0.013,0.015,4932.0,2891.0,1.0
-0.06,0.905,-1.705,1.694,0.013,0.014,4681.0,3009.0,1.0
0.263,0.945,-1.485,2.063,0.013,0.014,4929.0,3060.0,1.0
0.297,0.946,-1.543,2.057,0.014,0.014,4388.0,2997.0,1.0
0.112,0.941,-1.606,1.92,0.013,0.015,4940.0,2724.0,1.0
0.129,0.917,-1.652,1.82,0.013,0.016,5152.0,2901.0,1.0
-0.167,0.903,-1.869,1.528,0.013,0.014,4863.0,2820.0,1.0
0.096,0.955,-1.637,1.953,0.014,0.015,4461.0,2999.0,1.0
-0.16,0.908,-1.782,1.613,0.012,0.014,5526.0,3080.0,1.0
-0.052,0.933,-1.854,1.629,0.012,0.016,5601.0,2991.0,1.0
-0.133,0.911,-1.739,1.732,0.014,0.015,4468.0,2511.0,1.0
-0.697,1.045,-2.548,1.294,0.022,0.016,2294.0,3073.0,1.0
0.351,0.952,-1.506,2.054,0.014,0.014,4732.0,3045.0,1.0
-0.542,0.987,-2.206,1.504,0.017,0.014,3356.0,2588.0,1.0
0.137,0.913,-1.58,1.846,0.014,0.014,4285.0,2938.0,1.0
-0.415,0.945,-2.061,1.448,0.014,0.014,4751.0,3097.0,1.0
-0.084,0.917,-1.85,1.597,0.013,0.016,5002.0,3109.0,1.0
-0.035,0.929,-1.771,1.668,0.013,0.014,4897.0,3279.0,1.0
-0.035,0.929,-1.781,1.729,0.013,0.015,5024.0,3158.0,1.0
0.222,0.96,-1.584,2.039,0.014,0.014,4467.0,3139.0,1.0
0.263,0.958,-1.649,1.992,0.014,0.015,4884.0,3243.0,1.0
0.382,0.957,-1.429,2.069,0.015,0.014,3896.0,2802.0,1.0
-0.058,0.945,-1.805,1.755,0.013,0.016,4982.0,2776.0,1.0
0.339,0.95,-1.573,2.012,0.014,0.015,4725.0,3011.0,1.0
0.002,0.904,-1.716,1.675,0.013,0.014,5063.0,2936.0,1.0
0.125,0.91,-1.613,1.762,0.013,0.014,4965.0,3074.0,1.0
0.327,0.951,-1.42,2.156,0.014,0.014,4681.0,3183.0,1.0
0.201,0.923,-1.532,1.935,0.013,0.015,4961.0,2864.0,1.0
-0.3,0.936,-2.14,1.436,0.014,0.014,4625.0,3058.0,1.0
-0.042,0.911,-1.734,1.743,0.014,0.015,4356.0,2661.0,1.0
0.191,0.944,-1.639,2.004,0.014,0.015,4808.0,3136.0,1.0
-0.442,0.99,-2.386,1.379,0.016,0.014,3688.0,2984.0,1.0
0.035,0.923,-1.613,1.77,0.013,0.013,4773.0,3616.0,1.0
-0.063,0.935,-1.872,1.636,0.014,0.015,4321.0,2825.0,1.0
0.234,0.94,-1.648,1.888,0.014,0.015,4683.0,2992.0,1.0
0.275,0.925,-1.503,1.959,0.015,0.014,4088.0,2926.0,1.0
0.077,0.931,-1.671,1.812,0.014,0.014,4437.0,2797.0,1.0
0.06,0.951,-1.601,1.989,0.013,0.016,5328.0,2962.0,1.0
-0.187,0.933,-1.954,1.497,0.013,0.015,5112.0,2961.0,1.0
0.08,0.95,-1.679,1.96,0.013,0.016,4979.0,3001.0,1.0
-0.164,0.938,-1.841,1.674,0.014,0.015,4723.0,2918.0,1.0
-0.069,0.931,-1.845,1.663,0.013,0.016,5196.0,3004.0,1.0
-0.133,0.921,-1.857,1.605,0.013,0.014,4899.0,2977.0,1.0
-0.622,1.047,-2.51,1.326,0.024,0.017,1987.0,3279.0,1.0
0.355,0.928,-1.357,2.076,0.013,0.014,4918.0,3201.0,1.0
-0.487,1.002,-2.301,1.406,0.017,0.013,3750.0,3137.0,1.0
0.096,0.931,-1.692,1.869,0.014,0.015,4191.0,3016.0,1.0
-0.372,0.937,-2.029,1.521,0.016,0.014,3590.0,2717.0,1.0
-0.096,0.934,-1.996,1.597,0.013,0.014,5311.0,3110.0,1.0
-0.049,0.927,-1.838,1.64,0.013,0.015,5192.0,3273.0,1.0
-0.078,0.939,-1.885,1.663,0.012,0.017,5651.0,3011.0,1.0
0.228,0.924,-1.532,1.946,0.014,0.016,4439.0,3051.0,1.0
0.257,0.932,-1.407,2.164,0.014,0.014,4503.0,3083.0,1.0
0.392,0.946,-1.457,2.087,0.014,0.014,4642.0,3122.0,1.0
-0.057,0.905,-1.796,1.628,0.013,0.013,4588.0,3165.0,1.0
0.32,0.957,-1.516,2.059,0.014,0.014,4489.0,2805.0,1.0
-0.012,0.907,-1.815,1.619,0.012,0.015,5355.0,2836.0,1.0
0.139,0.899,-1.572,1.765,0.014,0.015,4438.0,2909.0,1.0
0.233,0.92,-1.518,1.991,0.014,0.014,4234.0,2816.0,1.0
0.144,0.956,-1.708,1.934,0.014,0.016,4391.0,2852.0,1.0
-0.298,0.984,-2.041,1.65,0.014,0.015,4836.0,3146.0,1.0
-0.069,0.94,-1.885,1.638,0.014,0.016,4636.0,2879.0,1.0
0.125,0.948,-1.668,1.885,0.013,0.015,4993.0,2952.0,1.0
-0.393,0.979,-2.176,1.446,0.017,0.015,3396.0,3013.0,1.0
-0.024,0.918,-1.657,1.812,0.013,0.014,5237.0,3166.0,1.0
-0.111,0.912,-1.78,1.724,0.013,0.014,5072.0,2942.0,1.0
0.19,0.911,-1.642,1.841,0.013,0.015,4884.0,3152.0,1.0
0.267,0.931,-1.443,2.033,0.014,0.014,4447.0,3071.0,1.0
0.062,0.915,-1.583,1.909,0.013,0.015,4747.0,2958.0,1.0
0.082,0.926,-1.751,1.788,0.013,0.016,5002.0,2597.0,1.0
-0.193,0.952,-2.106,1.497,0.013,0.016,5164.0,3033.0,1.0
0.05,0.924,-1.667,1.794,0.013,0.014,4955.0,2931.0,1.0
-0.186,0.96,-1.918,1.743,0.013,0.016,5684.0,2989.0,1.0
-0.096,0.959,-1.933,1.72,0.013,0.016,5287.0,2814.0,1.0
-0.166,0.924,-1.967,1.481,0.013,0.015,4818.0,2521.0,1.0
-0.531,1.071,-2.571,1.388,0.023,0.016,2196.0,3460.0,1.0
0.344,0.902,-1.398,1.997,0.013,0.013,4794.0,3079.0,1.0
-0.444,1.02,-2.23,1.525,0.02,0.016,2704.0,2725.0,1.0
0.081,0.918,-1.753,1.725,0.013,0.015,5097.0,3026.0,1.0
-0.362,0.974,-2.161,1.471,0.016,0.016,3584.0,2570.0,1.0
-0.11,0.912,-1.816,1.702,0.014,0.015,4419.0,2640.0,1.0
-0.079,0.93,-1.796,1.698,0.014,0.014,4606.0,3210.0,1.0
