date,week,home_team,home_pts,away_team,away_pts,tie
2020-11-05,9,SF,17.0,GB,34.0,False
2020-11-08,9,IND,10.0,BLT,24.0,False
2020-11-08,9,MIN,34.0,DET,20.0,False
2020-11-08,9,JAX,25.0,HST,27.0,False
2020-11-08,9,ATL,34.0,DEN,27.0,False
2020-11-08,9,BUF,44.0,SEA,34.0,False
2020-11-08,9,KC,33.0,CAR,31.0,False
2020-11-08,9,TEN,24.0,CHI,17.0,False
2020-11-08,9,WAS,20.0,NYG,23.0,False
2020-11-08,9,LAC,26.0,LV,31.0,False
2020-11-08,9,ARZ,31.0,MIA,34.0,False
2020-11-08,9,DAL,19.0,PIT,24.0,False
2020-11-08,9,TB,3.0,NO,38.0,False
2020-11-09,9,NYJ,27.0,NE,30.0,False
2020-11-12,10,TEN,17.0,IND,34.0,False
2020-11-15,10,CLV,10.0,HST,7.0,False
2020-11-15,10,DET,30.0,WAS,27.0,False
2020-11-15,10,GB,24.0,JAX,20.0,False
2020-11-15,10,CAR,23.0,TB,46.0,False
2020-11-15,10,NYG,27.0,PHI,17.0,False
2020-11-15,10,LV,37.0,DEN,12.0,False
2020-11-15,10,MIA,29.0,LAC,21.0,False
2020-11-15,10,ARZ,32.0,BUF,30.0,False
2020-11-15,10,PIT,36.0,CIN,10.0,False
2020-11-15,10,NO,27.0,SF,13.0,False
2020-11-15,10,LAR,23.0,SEA,16.0,False
2020-11-15,10,NE,23.0,BLT,17.0,False
2020-11-16,10,CHI,13.0,MIN,19.0,False
2020-11-19,11,SEA,28.0,ARZ,21.0,False
2020-11-22,11,NO,24.0,ATL,9.0,False
2020-11-22,11,WAS,20.0,CIN,9.0,False
2020-11-22,11,CLV,22.0,PHI,17.0,False
2020-11-22,11,HST,27.0,NE,20.0,False
2020-11-22,11,JAX,3.0,PIT,27.0,False
2020-11-22,11,BLT,24.0,TEN,30.0,False
2020-11-22,11,CAR,20.0,DET,0.0,False
2020-11-22,11,DEN,20.0,MIA,13.0,False
2020-11-22,11,LAC,34.0,NYJ,28.0,False
2020-11-22,11,IND,34.0,GB,31.0,False
2020-11-22,11,MIN,28.0,DAL,31.0,False
2020-11-22,11,LV,31.0,KC,35.0,False
2020-11-23,11,TB,24.0,LAR,27.0,False
2020-11-26,12,DET,25.0,HST,41.0,False
2020-11-26,12,DAL,16.0,WAS,41.0,False
2020-11-29,12,ATL,43.0,LV,6.0,False
2020-11-29,12,BUF,27.0,LAC,17.0,False
2020-11-29,12,CIN,17.0,NYG,19.0,False
2020-11-29,12,JAX,25.0,CLV,27.0,False
2020-11-29,12,IND,26.0,TEN,45.0,False
2020-11-29,12,NE,20.0,ARZ,17.0,False
2020-11-29,12,NYJ,3.0,MIA,20.0,False
2020-11-29,12,MIN,28.0,CAR,27.0,False
2020-11-29,12,DEN,3.0,NO,31.0,False
2020-11-29,12,LAR,20.0,SF,23.0,False
2020-11-29,12,TB,24.0,KC,27.0,False
2020-11-29,12,GB,41.0,CHI,25.0,False
2020-11-30,12,PHI,17.0,SEA,23.0,False
2020-12-02,12,PIT,19.0,BLT,14.0,False
2020-12-06,13,ATL,16.0,NO,21.0,False
2020-12-06,13,CHI,30.0,DET,34.0,False
2020-12-06,13,MIA,19.0,CIN,7.0,False
2020-12-06,13,TEN,35.0,CLV,41.0,False
2020-12-06,13,HST,20.0,IND,26.0,False
2020-12-06,13,MIN,27.0,JAX,24.0,False
2020-12-06,13,NYJ,28.0,LV,31.0,False
