mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
9.155,1.443,6.63,11.969,0.015,0.012,9096.0,3300.0,1.0
11.149,1.958,7.754,14.826,0.024,0.019,7383.0,3148.0,1.0
0.039,0.907,-1.642,1.803,0.01,0.016,7927.0,2894.0,1.0
-0.003,0.895,-1.771,1.61,0.01,0.014,7644.0,3427.0,1.0
0.412,0.955,-1.5,2.154,0.012,0.014,5902.0,3099.0,1.0
0.418,0.963,-1.457,2.118,0.013,0.014,5939.0,2982.0,1.0
-0.344,0.921,-2.172,1.311,0.011,0.013,6619.0,3481.0,1.0
-0.23,0.904,-1.898,1.476,0.011,0.013,6495.0,3556.0,1.0
0.352,0.958,-1.529,1.983,0.012,0.016,6185.0,2985.0,1.0
-0.289,0.891,-1.852,1.53,0.011,0.013,6794.0,3359.0,1.0
-0.075,0.903,-1.633,1.755,0.01,0.015,8293.0,2810.0,1.0
0.002,0.921,-1.763,1.716,0.011,0.014,7025.0,3519.0,1.0
0.495,0.988,-1.41,2.265,0.013,0.015,5417.0,3010.0,1.0
0.349,0.95,-1.462,2.045,0.012,0.014,6721.0,3180.0,1.0
0.086,0.914,-1.705,1.728,0.011,0.015,7361.0,3222.0,1.0
-0.085,0.925,-1.799,1.707,0.011,0.015,6673.0,2822.0,1.0
-0.279,0.903,-1.887,1.549,0.011,0.014,7156.0,3241.0,1.0
0.093,0.91,-1.75,1.689,0.01,0.015,8042.0,3107.0,1.0
-0.088,0.916,-1.92,1.551,0.01,0.015,8316.0,3178.0,1.0
0.025,0.919,-1.761,1.701,0.01,0.015,7900.0,3112.0,1.0
-0.288,0.919,-1.945,1.541,0.011,0.014,7109.0,3135.0,1.0
-0.188,0.901,-1.912,1.433,0.011,0.016,7304.0,2946.0,1.0
0.232,0.922,-1.534,1.94,0.011,0.014,6493.0,3503.0,1.0
-0.434,0.973,-2.186,1.479,0.012,0.015,6601.0,3298.0,1.0
-0.084,0.904,-1.842,1.618,0.009,0.016,9294.0,3163.0,1.0
-0.596,0.97,-2.362,1.258,0.015,0.013,4297.0,3296.0,1.0
-0.202,0.905,-1.912,1.531,0.01,0.015,8145.0,3132.0,1.0
0.173,0.914,-1.623,1.823,0.011,0.014,6786.0,3062.0,1.0
0.139,0.904,-1.54,1.856,0.01,0.015,8050.0,3486.0,1.0
0.136,0.922,-1.647,1.79,0.011,0.017,7688.0,2629.0,1.0
0.004,0.904,-1.733,1.652,0.01,0.015,7591.0,2951.0,1.0
0.356,0.955,-1.467,2.143,0.011,0.015,7275.0,3371.0,1.0
-0.29,0.928,-2.069,1.482,0.011,0.016,7412.0,2774.0,1.0
0.365,0.942,-1.412,2.097,0.011,0.016,7250.0,2773.0,1.0
0.031,0.919,-1.75,1.738,0.011,0.017,6710.0,2613.0,1.0
-0.055,0.907,-1.73,1.732,0.01,0.014,7878.0,3518.0,1.0
0.431,0.935,-1.379,2.094,0.012,0.013,6217.0,2984.0,1.0
0.444,0.971,-1.275,2.387,0.013,0.014,5517.0,2585.0,1.0
-0.325,0.933,-2.141,1.439,0.011,0.014,6821.0,3307.0,1.0
-0.255,0.916,-1.986,1.53,0.01,0.015,7702.0,2891.0,1.0
0.327,0.913,-1.409,1.984,0.011,0.014,7008.0,3347.0,1.0
-0.32,0.923,-2.062,1.443,0.011,0.015,6761.0,3083.0,1.0
-0.094,0.903,-1.825,1.553,0.011,0.015,7355.0,3193.0,1.0
