home_team,away_team,n_sims,over_under,over_under_vegas_odds,home_spread,home_spread_vegas_odds,home_ml_vegas_odds,mean_total_pts,mean_home_pts,mean_away_pts,prob_over,prob_home_cover,prob_home_ml
CLV,KC,25000,41.0,-110,4.0,-110,196,42.79544,18.01764,24.7778,0.5052,0.39988,0.27452
NYG,BLT,25000,43.0,-115,17.0,-115,950,43.66636,17.12224,26.54412,0.4688,0.72948,0.21048
HST,MIA,25000,46.0,-110,-2.5,-120,-150,44.43524,24.69856,19.73668,0.40244,0.56924,0.63264
NO,WAS,25000,44.0,-115,7.5,-110,320,49.55644,22.787,26.76944,0.61176,0.60764,0.37308
CAR,DAL,25000,42.0,-110,-2.5,-125,-135,48.35312,22.78388,25.56924,0.63984,0.34408,0.40024
TEN,CIN,25000,46.0,-110,6.0,-110,215,51.02516,23.38244,27.64272,0.59276,0.54196,0.36596
JAX,NYJ,25000,41.5,-110,3.0,100,148,41.82204,20.51572,21.30632,0.47328,0.55888,0.45548
DET,BUF,25000,54.5,-105,-2.0,-115,-140,53.15544,29.2056,23.94984,0.42328,0.5662,0.62072
PHI,PIT,25000,43.0,-115,-5.5,-110,-260,42.61768,22.60476,20.01292,0.43556,0.39364,0.56012
LAC,TB,25000,46.0,-110,-3.0,-105,-155,43.36476,22.561,20.80376,0.36776,0.43508,0.53524
DEN,IND,25000,43.5,-115,-4.5,-115,-220,41.973,23.5706,18.4024,0.4146,0.5086,0.64108
ARZ,NE,25000,46.0,-105,-6.5,-110,-278,41.49492,25.36148,16.13344,0.31244,0.574,0.76004
SEA,GB,25000,46.5,-110,2.5,-105,118,48.9332,23.14012,25.79308,0.53692,0.49484,0.407
