home_team,away_team,n_sims,over_under,over_under_vegas_odds,home_spread,home_spread_vegas_odds,home_ml_vegas_odds,mean_total_pts,mean_home_pts,mean_away_pts,prob_over,prob_home_cover,prob_home_ml
TB,NO,25000,44.5,-110,-14.5,-115,-1400,49.39308,30.3512,19.04188,0.59312,0.38548,0.7686
ATL,CAR,25000,48.5,-105,-8.0,-115,-430,47.47996,28.63704,18.84292,0.43436,0.513,0.74052
DAL,WAS,25000,43.5,-110,7.0,-110,270,52.66092,22.63368,30.02724,0.70592,0.48344,0.29696
GB,CHI,25000,41.5,-110,-10.0,-105,-480,42.50908,26.87908,15.63,0.48844,0.49188,0.79472
PHI,NYG,25000,36.0,-110,-3.0,-115,-165,42.26948,28.23516,14.03432,0.63444,0.78724,0.85476
NE,BUF,25000,36.5,-110,3.5,-120,150,50.43416,17.72168,32.71248,0.82488,0.2154,0.14268
TEN,HST,25000,36.5,-105,-2.5,-110,-140,43.23796,20.17808,23.05988,0.67508,0.33224,0.39284
IND,JAX,25000,45.0,-110,-3.5,-110,-190,45.41352,25.07204,20.34148,0.45804,0.52024,0.6142
DEN,KC,25000,40.0,-110,-11.0,-110,-600,41.99216,20.84644,21.14572,0.50904,0.16348,0.46864
NYJ,MIA,25000,39.5,-110,-1.0,-110,-115,39.93044,19.9736,19.95684,0.47764,0.44376,0.47792
LV,LAC,25000,42.0,-110,7.0,-115,250,40.6222,17.00672,23.61548,0.40104,0.50924,0.27848
LAR,SEA,25000,38.5,-110,7.5,-115,278,43.14264,21.91484,21.2278,0.61232,0.74464,0.49924
ARZ,SF,25000,42.5,-110,-4.5,-115,-215,45.30748,23.78888,21.5186,0.54172,0.41668,0.5432
DET,MIN,25000,56.5,-110,-3.0,100,-155,53.399,29.71268,23.68632,0.3858,0.55564,0.63164
