mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
7.988,1.07,6.072,10.076,0.011,0.009,9352.0,3005.0,1.0
9.866,1.421,7.353,12.518,0.015,0.011,9731.0,2946.0,1.0
0.024,0.879,-1.618,1.707,0.01,0.014,7101.0,3134.0,1.0
-0.008,0.926,-1.766,1.759,0.011,0.016,7334.0,3132.0,1.0
0.438,0.97,-1.47,2.157,0.013,0.014,5213.0,3330.0,1.0
0.455,1.009,-1.397,2.355,0.014,0.014,4912.0,3380.0,1.0
-0.263,0.918,-1.961,1.494,0.011,0.015,7121.0,3078.0,1.0
-0.336,0.917,-2.003,1.445,0.011,0.014,7056.0,3436.0,1.0
0.304,0.958,-1.607,2.031,0.013,0.015,5780.0,2693.0,1.0
-0.507,0.95,-2.205,1.419,0.013,0.013,5469.0,3427.0,1.0
-0.081,0.921,-1.798,1.692,0.01,0.016,7913.0,3199.0,1.0
0.11,0.934,-1.787,1.767,0.011,0.017,7356.0,2840.0,1.0
0.5,1.046,-1.482,2.373,0.016,0.016,4204.0,2935.0,1.0
0.338,0.958,-1.456,2.119,0.012,0.015,6366.0,3206.0,1.0
-0.01,0.903,-1.739,1.705,0.01,0.015,7461.0,3199.0,1.0
0.0,0.925,-1.827,1.666,0.01,0.015,9106.0,3437.0,1.0
-0.284,0.933,-1.988,1.449,0.011,0.015,6906.0,3451.0,1.0
0.144,0.906,-1.679,1.726,0.01,0.016,8064.0,2755.0,1.0
0.044,0.897,-1.581,1.784,0.01,0.014,7314.0,3291.0,1.0
-0.009,0.892,-1.831,1.544,0.01,0.015,7600.0,3097.0,1.0
-0.237,0.925,-1.969,1.562,0.011,0.016,6623.0,2916.0,1.0
-0.181,0.892,-1.849,1.515,0.01,0.014,7247.0,2913.0,1.0
0.259,0.936,-1.569,2.012,0.012,0.015,6532.0,2978.0,1.0
-0.422,0.938,-2.237,1.344,0.012,0.013,5933.0,3121.0,1.0
-0.218,0.906,-1.891,1.505,0.011,0.015,6753.0,3155.0,1.01
-0.48,0.962,-2.273,1.365,0.013,0.015,5116.0,2842.0,1.0
-0.21,0.904,-1.861,1.549,0.011,0.015,6740.0,3361.0,1.0
0.254,0.946,-1.495,2.043,0.011,0.015,7127.0,3376.0,1.0
0.018,0.899,-1.642,1.731,0.01,0.014,7474.0,3281.0,1.0
0.007,0.905,-1.645,1.709,0.01,0.016,7551.0,3264.0,1.0
0.085,0.903,-1.531,1.878,0.011,0.016,6646.0,2829.0,1.0
0.386,0.969,-1.396,2.27,0.013,0.014,5129.0,3168.0,1.0
-0.226,0.898,-1.914,1.453,0.011,0.014,6647.0,3154.0,1.0
0.313,0.962,-1.563,2.093,0.012,0.016,6760.0,3082.0,1.0
-0.008,0.943,-1.734,1.773,0.01,0.015,8623.0,3411.0,1.0
-0.03,0.899,-1.753,1.652,0.011,0.016,6278.0,2334.0,1.0
0.451,0.937,-1.347,2.146,0.014,0.013,4575.0,3249.0,1.0
0.503,0.975,-1.371,2.349,0.014,0.014,5304.0,2910.0,1.0
-0.272,0.923,-1.982,1.52,0.011,0.015,6666.0,3303.0,1.0
